"",BBK01.OEXB06O,BBK01.OEXB06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:10,
2002-01,-0.580,
2002-04,-1.048,
2002-07,-0.830,
2002-10,-0.547,
2003-01,-0.692,
2003-04,-1.133,
2003-07,-1.192,
2003-10,-1.571,
2004-01,-1.339,
2004-04,-0.968,
2004-07,-1.033,
2004-10,-1.289,
2005-01,1.538,
2005-04,1.289,
2005-07,1.353,
2005-10,1.265,
2006-01,1.326,
2006-04,1.052,
2006-07,1.346,
2006-10,1.404,
2007-01,1.343,
2007-04,1.198,
2007-07,1.364,
2007-10,1.437,
2008-01,1.501,
2008-04,1.438,
2008-07,1.546,
2008-10,1.326,
2009-01,1.236,
2009-04,1.128,
2009-07,1.354,
2009-10,1.425,
2010-01,1.602,
2010-04,1.619,
2010-07,1.782,
2010-10,2.020,
2011-01,1.778,
2011-04,1.714,
2011-07,1.764,
2011-10,1.799,
2012-01,1.962,
2012-04,2.027,
2012-07,1.877,
2012-10,1.877,
2013-01,1.792,
2013-04,1.881,
2013-07,1.741,
2013-10,1.737,
2014-01,1.707,
2014-04,1.628,
2014-07,1.753,
