"",BBK01.OELI03U,BBK01.OELI03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:42,
2002-01,0.766,
2002-04,0.691,
2002-07,0.684,
2002-10,0.729,
2003-01,0.760,
2003-04,0.719,
2003-07,0.672,
2003-10,0.684,
2004-01,0.706,
2004-04,0.706,
2004-07,0.677,
2004-10,0.822,
2005-01,0.748,
2005-04,0.765,
2005-07,0.744,
2005-10,0.777,
2006-01,0.775,
2006-04,0.783,
2006-07,0.758,
2006-10,0.749,
2007-01,0.774,
2007-04,0.789,
2007-07,0.795,
2007-10,0.820,
2008-01,0.901,
2008-04,0.882,
2008-07,1.017,
2008-10,0.847,
2009-01,0.829,
2009-04,0.790,
2009-07,0.711,
2009-10,0.677,
2010-01,0.595,
2010-04,0.571,
2010-07,0.541,
2010-10,0.547,
2011-01,0.554,
2011-04,0.629,
2011-07,0.611,
2011-10,0.614,
2012-01,0.648,
2012-04,0.537,
2012-07,0.478,
2012-10,0.407,
2013-01,0.373,
2013-04,0.317,
2013-07,0.349,
2013-10,0.360,
2014-01,0.359,
2014-04,0.373,
2014-07,0.363,
