"",BBK01.OEAM08N,BBK01.OEAM08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:58,
2002-01,0.271,
2002-04,0.266,
2002-07,0.261,
2002-10,0.265,
2003-01,0.274,
2003-04,0.265,
2003-07,0.232,
2003-10,0.229,
2004-01,0.227,
2004-04,0.213,
2004-07,0.229,
2004-10,0.228,
2005-01,0.188,
2005-04,0.179,
2005-07,0.167,
2005-10,0.170,
2006-01,0.149,
2006-04,0.137,
2006-07,0.120,
2006-10,0.134,
2007-01,0.121,
2007-04,0.105,
2007-07,0.100,
2007-10,0.104,
2008-01,0.109,
2008-04,0.097,
2008-07,0.091,
2008-10,0.087,
2009-01,0.126,
2009-04,0.125,
2009-07,0.097,
2009-10,0.105,
2010-01,0.127,
2010-04,0.142,
2010-07,0.122,
2010-10,0.128,
2011-01,0.147,
2011-04,0.145,
2011-07,0.128,
2011-10,0.129,
2012-01,0.084,
2012-04,0.087,
2012-07,0.085,
2012-10,0.084,
2013-01,0.091,
2013-04,0.094,
2013-07,0.098,
2013-10,0.095,
2014-01,0.075,
2014-04,0.077,
2014-07,0.107,
