"",BBK01.OEYB13Q,BBK01.OEYB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:10,
2002-01,6.387,
2002-04,6.302,
2002-07,5.778,
2002-10,5.811,
2003-01,5.754,
2003-04,8.466,
2003-07,8.280,
2003-10,7.904,
2004-01,7.721,
2004-04,5.105,
2004-07,4.977,
2004-10,4.993,
2005-01,4.701,
2005-04,4.681,
2005-07,4.636,
2005-10,4.552,
2006-01,4.420,
2006-04,4.786,
2006-07,4.284,
2006-10,4.100,
2007-01,4.411,
2007-04,3.276,
2007-07,1.690,
2007-10,1.610,
2008-01,1.507,
2008-04,1.454,
2008-07,1.406,
2008-10,1.389,
2009-01,1.360,
2009-04,1.348,
2009-07,1.309,
2009-10,1.367,
2010-01,1.322,
2010-04,1.278,
2010-07,1.175,
2010-10,1.179,
2011-01,1.010,
2011-04,0.969,
2011-07,0.807,
2011-10,0.922,
2012-01,0.906,
2012-04,0.922,
2012-07,0.876,
2012-10,0.863,
2013-01,0.851,
2013-04,0.845,
2013-07,0.791,
2013-10,0.779,
2014-01,0.756,
2014-04,0.749,
2014-07,0.743,
