"",BBK01.OEAE21K,BBK01.OEAE21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:57,
2002-01,0.451,
2002-04,0.431,
2002-07,0.420,
2002-10,0.406,
2003-01,0.414,
2003-04,0.422,
2003-07,0.409,
2003-10,0.214,
2004-01,0.471,
2004-04,0.290,
2004-07,0.330,
2004-10,0.233,
2005-01,0.455,
2005-04,0.451,
2005-07,1.177,
2005-10,1.123,
2006-01,0.596,
2006-04,0.600,
2006-07,0.620,
2006-10,0.349,
2007-01,0.271,
2007-04,0.388,
2007-07,0.483,
2007-10,0.493,
2008-01,0.487,
2008-04,0.458,
2008-07,0.437,
2008-10,0.487,
2009-01,0.547,
2009-04,0.545,
2009-07,0.556,
2009-10,0.528,
2010-01,0.452,
2010-04,0.444,
2010-07,0.433,
2010-10,0.580,
2011-01,0.667,
2011-04,0.632,
2011-07,0.687,
2011-10,0.902,
2012-01,0.899,
2012-04,0.756,
2012-07,0.630,
2012-10,0.492,
2013-01,0.540,
2013-04,0.502,
2013-07,0.595,
2013-10,0.655,
2014-01,0.661,
2014-04,0.647,
2014-07,0.709,
