"",BBFB1.Q.N.DE.JP.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:10,
1991-01,401.547,
1991-04,497.478,
1991-07,488.526,
1991-10,493.837,
1992-01,457.738,
1992-04,467.215,
1992-07,461.621,
1992-10,442.941,
1993-01,443.336,
1993-04,510.956,
1993-07,474.188,
1993-10,459.074,
1994-01,466.060,
1994-04,520.219,
1994-07,547.037,
1994-10,464.543,
1995-01,521.018,
1995-04,576.551,
1995-07,551.232,
1995-10,530.140,
1996-01,499.813,
1996-04,555.519,
1996-07,533.096,
1996-10,483.163,
1997-01,476.379,
1997-04,515.114,
1997-07,474.704,
1997-10,492.097,
1998-01,511.081,
1998-04,572.342,
1998-07,511.588,
1998-10,484.668,
1999-01,443.647,
1999-04,486.334,
1999-07,461.082,
1999-10,464.359,
2000-01,676.644,
2000-04,568.658,
2000-07,530.062,
2000-10,525.253,
2001-01,593.464,
2001-04,590.324,
2001-07,525.278,
2001-10,474.350,
2002-01,448.647,
2002-04,491.780,
2002-07,469.888,
2002-10,472.720,
2003-01,477.746,
2003-04,478.990,
2003-07,508.413,
2003-10,505.242,
2004-01,560.422,
2004-04,514.665,
2004-07,485.001,
2004-10,490.813,
2005-01,325.829,
2005-04,321.133,
2005-07,322.975,
2005-10,333.085,
2006-01,470.742,
2006-04,494.246,
2006-07,516.858,
2006-10,544.701,
2007-01,575.051,
2007-04,567.432,
2007-07,559.671,
2007-10,520.087,
2008-01,252.614,
2008-04,613.781,
2008-07,673.729,
2008-10,483.290,
2009-01,399.975,
2009-04,392.174,
2009-07,328.596,
2009-10,271.739,
2010-01,466.176,
2010-04,507.708,
2010-07,521.741,
2010-10,540.987,
2011-01,414.415,
2011-04,468.626,
2011-07,412.636,
2011-10,413.318,
2012-01,384.994,
2012-04,431.395,
2012-07,387.661,
2012-10,390.422,
2013-01,495.604,
2013-04,537.465,
2013-07,484.372,
2013-10,482.069,
2014-01,419.637,Provisional value
2014-04,496.302,Provisional value
2014-07,428.471,Provisional value
