"",BBFB1.Q.N.DE.R5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:36,
1991-01,4.231,
1991-04,26.108,
1991-07,9.596,
1991-10,-3.291,
1992-01,6.219,
1992-04,26.535,
1992-07,12.106,
1992-10,5.664,
1993-01,7.541,
1993-04,23.839,
1993-07,14.870,
1993-10,13.404,
1994-01,18.863,
1994-04,28.496,
1994-07,12.085,
1994-10,10.913,
1995-01,16.443,
1995-04,30.614,
1995-07,7.469,
1995-10,8.483,
1996-01,18.175,
1996-04,21.305,
1996-07,7.200,
1996-10,8.035,
1997-01,19.296,
1997-04,41.794,
1997-07,19.733,
1997-10,-3.033,
1998-01,6.871,
1998-04,209.003,
1998-07,10.295,
1998-10,-0.767,
1999-01,11.137,
1999-04,55.137,
1999-07,6.200,
1999-10,-0.525,
2000-01,6.087,
2000-04,50.158,
2000-07,6.033,
2000-10,-205.168,
2001-01,5.118,
2001-04,52.070,
2001-07,3.763,
2001-10,3.138,
2002-01,6.269,
2002-04,0.682,
2002-07,5.632,
2002-10,3.794,
2003-01,4.876,
2003-04,33.271,
2003-07,6.167,
2003-10,10.287,
2004-01,7.895,
2004-04,39.600,
2004-07,9.693,
2004-10,20.354,
2005-01,11.657,
2005-04,41.718,
2005-07,11.460,
2005-10,13.693,
2006-01,7.873,
2006-04,28.922,
2006-07,9.550,
2006-10,14.998,
2007-01,8.701,
2007-04,38.866,
2007-07,7.185,
2007-10,12.311,
2008-01,10.581,
2008-04,50.312,
2008-07,10.026,
2008-10,8.562,
2009-01,15.165,
2009-04,15.037,
2009-07,9.144,
2009-10,8.672,
2010-01,12.750,
2010-04,10.512,
2010-07,58.282,
2010-10,10.375,
2011-01,19.171,
2011-04,28.949,
2011-07,22.665,
2011-10,27.358,
2012-01,22.586,
2012-04,38.556,
2012-07,7.211,
2012-10,24.459,
2013-01,17.343,
2013-04,43.694,
2013-07,18.873,
2013-10,26.342,
2014-01,8.821,Provisional value
2014-04,19.218,Provisional value
2014-07,11.808,Provisional value
