"",BBK01.OEAD10L,BBK01.OEAD10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:54,
2002-01,2.251,
2002-04,2.184,
2002-07,2.231,
2002-10,2.391,
2003-01,2.394,
2003-04,2.287,
2003-07,2.346,
2003-10,2.049,
2004-01,2.680,
2004-04,2.235,
2004-07,2.246,
2004-10,2.366,
2005-01,1.974,
2005-04,1.931,
2005-07,2.032,
2005-10,1.939,
2006-01,1.975,
2006-04,1.988,
2006-07,1.910,
2006-10,1.824,
2007-01,1.762,
2007-04,1.753,
2007-07,1.864,
2007-10,1.844,
2008-01,1.790,
2008-04,1.753,
2008-07,1.673,
2008-10,1.702,
2009-01,1.780,
2009-04,2.398,
2009-07,2.829,
2009-10,1.398,
2010-01,1.297,
2010-04,1.247,
2010-07,1.272,
2010-10,1.306,
2011-01,1.302,
2011-04,1.223,
2011-07,1.262,
2011-10,1.282,
2012-01,1.251,
2012-04,1.157,
2012-07,1.253,
2012-10,1.226,
2013-01,1.179,
2013-04,1.144,
2013-07,1.157,
2013-10,1.236,
2014-01,1.186,
2014-04,1.138,
2014-07,1.243,
