"",BBK01.OEBI03R,BBK01.OEBI03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:28,
2002-01,0.913,
2002-04,0.855,
2002-07,0.849,
2002-10,0.850,
2003-01,0.725,
2003-04,0.733,
2003-07,0.694,
2003-10,0.679,
2004-01,0.627,
2004-04,0.556,
2004-07,0.523,
2004-10,0.555,
2005-01,0.618,
2005-04,0.521,
2005-07,0.533,
2005-10,0.528,
2006-01,0.571,
2006-04,0.609,
2006-07,0.630,
2006-10,0.648,
2007-01,0.746,
2007-04,0.876,
2007-07,0.928,
2007-10,1.045,
2008-01,1.289,
2008-04,1.298,
2008-07,1.419,
2008-10,1.230,
2009-01,0.714,
2009-04,0.625,
2009-07,0.492,
2009-10,0.394,
2010-01,0.368,
2010-04,0.348,
2010-07,0.314,
2010-10,0.313,
2011-01,0.425,
2011-04,0.426,
2011-07,0.452,
2011-10,1.058,
2012-01,1.278,
2012-04,1.355,
2012-07,1.456,
2012-10,1.475,
2013-01,1.600,
2013-04,1.515,
2013-07,1.513,
2013-10,1.395,
2014-01,1.423,
2014-04,1.462,
2014-07,1.173,
