"",BBK01.OECB17T,BBK01.OECB17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:06,
2002-01,1.140,
2002-04,1.129,
2002-07,1.113,
2002-10,1.086,
2003-01,1.070,
2003-04,1.059,
2003-07,1.042,
2003-10,1.021,
2004-01,1.009,
2004-04,1.010,
2004-07,1.007,
2004-10,1.038,
2005-01,1.793,
2005-04,1.824,
2005-07,1.853,
2005-10,1.877,
2006-01,1.884,
2006-04,1.895,
2006-07,1.925,
2006-10,1.933,
2007-01,1.944,
2007-04,2.028,
2007-07,2.010,
2007-10,1.995,
2008-01,1.991,
2008-04,1.987,
2008-07,2.040,
2008-10,2.034,
2009-01,2.020,
2009-04,2.275,
2009-07,2.267,
2009-10,2.257,
2010-01,2.245,
2010-04,2.266,
2010-07,2.473,
2010-10,2.377,
2011-01,2.453,
2011-04,2.433,
2011-07,2.427,
2011-10,2.413,
2012-01,2.412,
2012-04,2.412,
2012-07,2.410,
2012-10,2.406,
2013-01,2.414,
2013-04,2.421,
2013-07,2.432,
2013-10,2.378,
2014-01,2.385,
2014-04,2.386,
2014-07,2.456,
