"",BBK01.OECB08L,BBK01.OECB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:27,
2002-01,11.934,
2002-04,11.777,
2002-07,11.722,
2002-10,11.787,
2003-01,11.458,
2003-04,11.394,
2003-07,11.046,
2003-10,10.679,
2004-01,10.777,
2004-04,10.673,
2004-07,14.040,
2004-10,13.622,
2005-01,16.334,
2005-04,16.513,
2005-07,16.298,
2005-10,17.367,
2006-01,17.888,
2006-04,16.710,
2006-07,17.017,
2006-10,14.993,
2007-01,16.186,
2007-04,15.873,
2007-07,16.087,
2007-10,17.461,
2008-01,17.392,
2008-04,16.918,
2008-07,16.643,
2008-10,16.062,
2009-01,14.996,
2009-04,18.659,
2009-07,18.135,
2009-10,18.023,
2010-01,18.046,
2010-04,18.059,
2010-07,17.643,
2010-10,16.932,
2011-01,17.813,
2011-04,18.075,
2011-07,17.954,
2011-10,17.477,
2012-01,17.202,
2012-04,16.892,
2012-07,16.644,
2012-10,16.643,
2013-01,16.641,
2013-04,17.635,
2013-07,17.129,
2013-10,17.199,
2014-01,18.176,
2014-04,18.409,
2014-07,19.742,
