"",BBK01.OXA8C3,BBK01.OXA8C3_FLAGS
"",Short-term loans (including bills of exchange) to domestic enterprises - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:45,
1999-01,213.801,
1999-02,213.130,
1999-03,212.657,
1999-04,210.855,
1999-05,210.755,
1999-06,220.356,
1999-07,213.591,
1999-08,209.213,
1999-09,212.717,
1999-10,212.759,
1999-11,219.119,
1999-12,219.839,
2000-01,221.810,
2000-02,226.084,
2000-03,232.465,
2000-04,239.427,
2000-05,239.525,
2000-06,238.524,
2000-07,228.774,
2000-08,228.900,
2000-09,239.282,
2000-10,237.690,
2000-11,241.615,
2000-12,236.296,
2001-01,241.077,
2001-02,250.316,
2001-03,253.681,
2001-04,252.934,
2001-05,253.766,
2001-06,252.534,
2001-07,244.428,
2001-08,237.792,
2001-09,243.454,
2001-10,240.671,
2001-11,245.139,
2001-12,246.969,
2002-01,238.493,
2002-02,240.116,
2002-03,243.555,
2002-04,243.512,
2002-05,241.018,
2002-06,237.474,
2002-07,230.786,
2002-08,227.273,
2002-09,236.464,
2002-10,230.508,
2002-11,230.460,
2002-12,226.469,
2003-01,227.443,
2003-02,227.926,
2003-03,229.737,
2003-04,225.222,
2003-05,221.633,
2003-06,226.284,
2003-07,216.436,
2003-08,210.397,
2003-09,223.372,
2003-10,218.704,
2003-11,223.685,
2003-12,216.517,
2004-01,211.268,
2004-02,213.135,
2004-03,213.453,
2004-04,212.358,
2004-05,206.890,
2004-06,202.891,
2004-07,197.558,
2004-08,191.480,
2004-09,195.523,
2004-10,194.279,
2004-11,206.021,
2004-12,194.272,
2005-01,191.709,
2005-02,199.847,
2005-03,201.213,
2005-04,201.051,
2005-05,201.641,
2005-06,203.414,
2005-07,200.489,
2005-08,197.367,
2005-09,208.604,
2005-10,213.581,
2005-11,207.075,
2005-12,189.305,
2006-01,200.573,
2006-02,201.922,
2006-03,210.609,
2006-04,215.998,
2006-05,213.123,
2006-06,210.964,
2006-07,204.800,
2006-08,206.041,
2006-09,219.931,
2006-10,217.192,
2006-11,212.725,
2006-12,191.429,
2007-01,202.876,
2007-02,208.344,
2007-03,214.948,
2007-04,214.627,
2007-05,208.527,
2007-06,215.944,
2007-07,219.219,
2007-08,218.152,
2007-09,224.713,
2007-10,226.823,
2007-11,223.259,
2007-12,225.609,
2008-01,236.250,
2008-02,244.080,
2008-03,254.111,
2008-04,258.896,
2008-05,259.638,
2008-06,263.334,
2008-07,267.506,
2008-08,263.158,
2008-09,270.011,
2008-10,263.541,
2008-11,268.900,
2008-12,259.035,
2009-01,279.084,
2009-02,269.184,
2009-03,292.060,
2009-04,288.275,
2009-05,285.884,
2009-06,286.553,
2009-07,262.607,
2009-08,248.585,
2009-09,262.091,
2009-10,252.634,
2009-11,254.813,
2009-12,233.426,
2010-01,233.658,
2010-02,229.162,
2010-03,230.222,
2010-04,240.169,
2010-05,238.808,
2010-06,238.396,
2010-07,233.232,
2010-08,236.930,
2010-09,219.316,
2010-10,225.239,
2010-11,245.828,
2010-12,210.841,
2011-01,219.339,
2011-02,238.608,
2011-03,221.344,
2011-04,226.233,
2011-05,235.457,
2011-06,234.754,
2011-07,236.012,
2011-08,248.411,
2011-09,254.723,
2011-10,284.341,
2011-11,282.441,
2011-12,246.182,
2012-01,270.018,
2012-02,269.120,
2012-03,259.076,
2012-04,259.680,
2012-05,255.356,
2012-06,253.938,
2012-07,282.033,
2012-08,276.598,
2012-09,271.361,
2012-10,282.449,
2012-11,270.783,
2012-12,247.527,
2013-01,271.503,
2013-02,271.495,
2013-03,264.678,
2013-04,259.277,
2013-05,259.243,
2013-06,271.444,
2013-07,254.188,
2013-08,155.688,
2013-09,158.866,
2013-10,155.585,
2013-11,154.175,
2013-12,152.052,
2014-01,151.116,
2014-02,153.695,
2014-03,155.557,
2014-04,153.308,
2014-05,153.651,
2014-06,157.936,
2014-07,152.440,
2014-08,150.529,
2014-09,156.804,
2014-10,149.624,
2014-11,154.172,
2014-12,150.577,Provisional value
