"",BBK01.OEAH45V,BBK01.OEAH45V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:02,
2002-01,0.669,
2002-04,0.656,
2002-07,0.658,
2002-10,0.678,
2003-01,0.672,
2003-04,0.638,
2003-07,0.667,
2003-10,0.654,
2004-01,0.636,
2004-04,0.553,
2004-07,0.544,
2004-10,0.556,
2005-01,0.560,
2005-04,0.539,
2005-07,0.513,
2005-10,0.523,
2006-01,0.565,
2006-04,0.568,
2006-07,0.574,
2006-10,0.600,
2007-01,0.618,
2007-04,0.633,
2007-07,0.698,
2007-10,0.743,
2008-01,0.771,
2008-04,0.782,
2008-07,0.813,
2008-10,0.807,
2009-01,0.565,
2009-04,0.483,
2009-07,0.390,
2009-10,0.354,
2010-01,0.305,
2010-04,0.287,
2010-07,0.251,
2010-10,0.243,
2011-01,0.255,
2011-04,0.312,
2011-07,0.317,
2011-10,0.332,
2012-01,0.274,
2012-04,0.999,
2012-07,0.974,
2012-10,0.991,
2013-01,0.986,
2013-04,0.981,
2013-07,0.986,
2013-10,0.985,
2014-01,0.991,
2014-04,0.984,
2014-07,0.977,
