"",BBK01.OEAB14L,BBK01.OEAB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:10,
2002-01,4.978,
2002-04,4.977,
2002-07,4.757,
2002-10,4.800,
2003-01,5.004,
2003-04,4.827,
2003-07,4.612,
2003-10,4.526,
2004-01,4.672,
2004-04,4.586,
2004-07,4.529,
2004-10,4.686,
2005-01,4.313,
2005-04,4.081,
2005-07,4.013,
2005-10,3.906,
2006-01,3.698,
2006-04,3.638,
2006-07,3.487,
2006-10,3.333,
2007-01,3.306,
2007-04,3.179,
2007-07,3.213,
2007-10,3.368,
2008-01,3.378,
2008-04,3.327,
2008-07,3.364,
2008-10,3.478,
2009-01,3.508,
2009-04,3.343,
2009-07,3.179,
2009-10,3.173,
2010-01,3.243,
2010-04,3.181,
2010-07,3.200,
2010-10,3.100,
2011-01,3.065,
2011-04,3.002,
2011-07,2.964,
2011-10,2.874,
2012-01,2.874,
2012-04,2.884,
2012-07,2.821,
2012-10,2.862,
2013-01,2.801,
2013-04,2.674,
2013-07,2.569,
2013-10,2.476,
2014-01,2.466,
2014-04,2.421,
2014-07,2.314,
