"",BBK01.OEAC29J,BBK01.OEAC29J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:37,
2002-01,0.519,
2002-04,0.503,
2002-07,0.494,
2002-10,0.483,
2003-01,0.448,
2003-04,0.439,
2003-07,0.440,
2003-10,0.438,
2004-01,0.432,
2004-04,0.412,
2004-07,0.406,
2004-10,0.419,
2005-01,0.414,
2005-04,0.411,
2005-07,0.399,
2005-10,0.331,
2006-01,0.314,
2006-04,0.333,
2006-07,0.333,
2006-10,0.318,
2007-01,0.305,
2007-04,0.293,
2007-07,0.281,
2007-10,0.282,
2008-01,0.306,
2008-04,0.284,
2008-07,0.268,
2008-10,0.236,
2009-01,0.241,
2009-04,0.223,
2009-07,0.224,
2009-10,0.223,
2010-01,0.237,
2010-04,0.239,
2010-07,0.232,
2010-10,0.232,
2011-01,0.228,
2011-04,0.233,
2011-07,0.231,
2011-10,0.218,
2012-01,0.220,
2012-04,0.229,
2012-07,0.216,
2012-10,0.216,
2013-01,0.212,
2013-04,0.204,
2013-07,0.200,
2013-10,0.185,
2014-01,0.181,
2014-04,0.171,
2014-07,0.176,
