"",BBK01.TVD438,BBK01.TVD438_FLAGS
"",Deposits of non-banks in the euro area / in other member states / Overnight / German contribution,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:21:15,
1980-01,0,
1980-02,7,
1980-03,14,
1980-04,4,
1980-05,-3,
1980-06,8,
1980-07,-9,
1980-08,11,
1980-09,5,
1980-10,8,
1980-11,6,
1980-12,15,
1981-01,-14,
1981-02,4,
1981-03,36,
1981-04,-18,
1981-05,10,
1981-06,0,
1981-07,14,
1981-08,-15,
1981-09,-4,
1981-10,-9,
1981-11,4,
1981-12,28,
1982-01,-21,
1982-02,2,
1982-03,9,
1982-04,-18,
1982-05,1,
1982-06,14,
1982-07,3,
1982-08,7,
1982-09,6,
1982-10,-4,
1982-11,-7,
1982-12,19,
1983-01,-26,
1983-02,0,
1983-03,5,
1983-04,-9,
1983-05,8,
1983-06,21,
1983-07,-5,
1983-08,-4,
1983-09,1,
1983-10,-4,
1983-11,2,
1983-12,15,
1984-01,-28,
1984-02,-9,
1984-03,8,
1984-04,15,
1984-05,8,
1984-06,5,
1984-07,14,
1984-08,-1,
1984-09,33,
1984-10,-1,
1984-11,3,
1984-12,45,
1985-01,-22,
1985-02,19,
1985-03,-28,
1985-04,-1,
1985-05,-14,
1985-06,19,
1985-07,-24,
1985-08,7,
1985-09,2,
1985-10,7,
1985-11,17,
1985-12,29,
1986-01,-24,
1986-02,-10,
1986-03,26,
1986-04,-9,
1986-05,4,
1986-06,5,
1986-07,-17,
1986-08,5,
1986-09,54,
1986-10,8,
1986-11,-15,
1986-12,13,
1987-01,-6,
1987-02,-12,
1987-03,9,
1987-04,15,
1987-05,-1,
1987-06,20,
1987-07,-1,
1987-08,1,
1987-09,20,
1987-10,29,
1987-11,-28,
1987-12,-7,
1988-01,7,
1988-02,1,
1988-03,15,
1988-04,-12,
1988-05,18,
1988-06,23,
1988-07,36,
1988-08,16,
1988-09,-4,
1988-10,-1,
1988-11,-3,
1988-12,-2,
1989-01,19,
1989-02,12,
1989-03,22,
1989-04,31,
1989-05,45,
1989-06,2,
1989-07,-28,
1989-08,14,
1989-09,10,
1989-10,11,
1989-11,2,
1989-12,-1,
1990-01,21,
1990-02,21,
1990-03,6,
1990-04,12,
1990-05,3,
1990-06,115,
1990-07,24,
1990-08,6,
1990-09,38,
1990-10,-23,
1990-11,-9,
1990-12,15,
1991-01,6,
1991-02,17,
1991-03,95,
1991-04,-20,
1991-05,-29,
1991-06,39,
1991-07,-23,
1991-08,19,
1991-09,-35,
1991-10,24,
1991-11,-5,
1991-12,-26,
1992-01,35,
1992-02,30,
1992-03,40,
1992-04,21,
1992-05,0,
1992-06,-4,
1992-07,-20,
1992-08,14,
1992-09,109,
1992-10,8,
1992-11,34,
1992-12,15,
1993-01,-20,
1993-02,61,
1993-03,10,
1993-04,-13,
1993-05,20,
1993-06,59,
1993-07,24,
1993-08,8,
1993-09,-20,
1993-10,47,
1993-11,34,
1993-12,55,
1994-01,1260,
1994-02,-893,
1994-03,-115,
1994-04,-91,
1994-05,164,
1994-06,113,
1994-07,72,
1994-08,-104,
1994-09,35,
1994-10,66,
1994-11,282,
1994-12,-463,
1995-01,22,
1995-02,149,
1995-03,342,
1995-04,-467,
1995-05,179,
1995-06,533,
1995-07,-518,
1995-08,-109,
1995-09,-306,
1995-10,124,
1995-11,46,
1995-12,209,
1996-01,480,
1996-02,-478,
1996-03,14,
1996-04,717,
1996-05,-204,
1996-06,-253,
1996-07,-9,
1996-08,218,
1996-09,594,
1996-10,-726,
1996-11,148,
1996-12,1038,
1997-01,-1228,
1997-02,651,
1997-03,13,
1997-04,-102,
1997-05,296,
1997-06,71,
1997-07,13,
1997-08,-138,
1997-09,789,
1997-10,67,
1997-11,-576,
1997-12,-33,
1998-01,643,
1998-02,872,
1998-03,-374,
1998-04,235,
1998-05,-453,
1998-06,358,
1998-07,-949,
1998-08,630,
1998-09,-3,
1998-10,729,
1998-11,1006,
1998-12,-1672,
1999-01,3031,
1999-02,-1589,
1999-03,196,
1999-04,-349,
1999-05,661,
1999-06,2766,
1999-07,-3199,
1999-08,-580,
1999-09,-99,
1999-10,-338,
1999-11,3271,
1999-12,-2063,
2000-01,1986,
2000-02,-1284,
2000-03,98,
2000-04,1589,
2000-05,-2819,
2000-06,1997,
2000-07,-964,
2000-08,-439,
2000-09,94,
2000-10,9,
2000-11,578,
2000-12,-528,
2001-01,950,
2001-02,-1823,
2001-03,1374,
2001-04,-259,
2001-05,1267,
2001-06,-615,
2001-07,-505,
2001-08,-1057,
2001-09,1715,
2001-10,-608,
2001-11,958,
2001-12,-1003,
2002-01,431,
2002-02,127,
2002-03,-83,
2002-04,1944,
2002-05,-2647,
2002-06,1167,
2002-07,-581,
2002-08,-654,
2002-09,1514,
2002-10,-592,
2002-11,1790,
2002-12,-1850,
2003-01,942,
2003-02,-1071,
2003-03,-260,
2003-04,461,
2003-05,700,
2003-06,-28,
2003-07,531,
2003-08,-459,
2003-09,771,
2003-10,1077,
2003-11,-726,
2003-12,-531,
2004-01,199,
2004-02,1251,
2004-03,2314,
2004-04,-2589,
2004-05,-1167,
2004-06,3014,
2004-07,-2751,
2004-08,106,
2004-09,4709,
2004-10,-4756,
2004-11,2363,
2004-12,-3066,
2005-01,4568,
2005-02,-199,
2005-03,-1790,
2005-04,-796,
2005-05,1642,
2005-06,2022,
2005-07,-2833,
2005-08,-607,
2005-09,1400,
2005-10,-847,
2005-11,-103,
2005-12,-1941,
2006-01,2213,
2006-02,-991,
2006-03,1378,
2006-04,4195,
2006-05,-4454,
2006-06,2931,
2006-07,-2820,
2006-08,-1264,
2006-09,1211,
2006-10,501,
2006-11,647,
2006-12,895,
2007-01,250,
2007-02,-807,
2007-03,2322,
2007-04,-2144,
2007-05,2445,
2007-06,1465,
2007-07,-2048,
2007-08,-1804,
2007-09,3055,
2007-10,-440,
2007-11,2526,
2007-12,749,
2008-01,1867,
2008-02,-2988,
2008-03,7287,
2008-04,-2301,
2008-05,468,
2008-06,974,
2008-07,303,
2008-08,-434,
2008-09,7181,
2008-10,-6185,
2008-11,-3246,
2008-12,-3022,
2009-01,11249,
2009-02,-7842,
2009-03,1173,
2009-04,-1376,
2009-05,702,
2009-06,258,
2009-07,-1289,
2009-08,1126,
2009-09,811,
2009-10,-318,
2009-11,-320,
2009-12,-8254,
2010-01,2321,
2010-02,316,
2010-03,1418,
2010-04,5448,
2010-05,-5558,
2010-06,281,
2010-07,2029,
2010-08,-1785,
2010-09,-1493,
2010-10,375,
2010-11,4417,
2010-12,-5616,
2011-01,3500,
2011-02,-1362,
2011-03,755,
2011-04,3728,
2011-05,-704,
2011-06,1530,
2011-07,-1595,
2011-08,439,
2011-09,2686,
2011-10,240,
2011-11,-3219,
2011-12,491,
2012-01,3456,
2012-02,1732,
2012-03,-2105,
2012-04,-640,
2012-05,1650,
2012-06,185,
2012-07,-248,
2012-08,320,
2012-09,3362,
2012-10,-1512,
2012-11,969,
2012-12,-1801,
2013-01,984,
2013-02,1543,
2013-03,1482,
2013-04,132,
2013-05,-2182,
2013-06,4466,
2013-07,-2112,
2013-08,-997,
2013-09,3038,
2013-10,-4894,
2013-11,1766,
2013-12,90,
2014-01,-45,
2014-02,179,
2014-03,161,
2014-04,2660,
2014-05,-2236,
2014-06,1768,
2014-07,-1091,
2014-08,-201,
2014-09,3160,
2014-10,-1997,
2014-11,-6,
2014-12,-2236,
2015-01,2772,
