"",BBK01.OEGL05I,BBK01.OEGL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:18,
2002-01,1.465,
2002-04,1.438,
2002-07,1.442,
2002-10,1.410,
2003-01,1.412,
2003-04,1.286,
2003-07,1.304,
2003-10,1.266,
2004-01,1.272,
2004-04,1.001,
2004-07,0.019,
2004-10,0.024,
2005-01,0.025,
2005-04,0.024,
2005-07,0.034,
2005-10,0.035,
2006-01,0.035,
2006-04,0.035,
2006-07,0.024,
2006-10,0.037,
2007-01,0.025,
2007-04,0.026,
2007-07,0.026,
2007-10,0.026,
2008-01,0.026,
2008-04,0.026,
2008-07,0.024,
2008-10,0.023,
2009-01,0.023,
2009-04,0.022,
2009-07,0.022,
2009-10,0.022,
2010-01,0.022,
2010-04,0.022,
2010-07,0.022,
2010-10,0.022,
2011-01,0.017,
2011-04,0.017,
2011-07,0.017,
2011-10,0.017,
2012-01,0.014,
2012-04,0.013,
2012-07,0.013,
2012-10,0.013,
2013-01,0.013,
2013-04,0.010,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
