"",BBK01.OELI05L,BBK01.OELI05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:52,
2002-01,1.475,
2002-04,1.511,
2002-07,1.500,
2002-10,1.502,
2003-01,1.508,
2003-04,1.478,
2003-07,1.495,
2003-10,1.441,
2004-01,1.431,
2004-04,1.374,
2004-07,1.397,
2004-10,1.426,
2005-01,1.398,
2005-04,1.365,
2005-07,1.342,
2005-10,1.325,
2006-01,1.331,
2006-04,1.345,
2006-07,1.354,
2006-10,1.312,
2007-01,1.332,
2007-04,1.279,
2007-07,1.261,
2007-10,1.209,
2008-01,1.152,
2008-04,1.126,
2008-07,1.099,
2008-10,1.048,
2009-01,1.001,
2009-04,0.969,
2009-07,1.014,
2009-10,1.061,
2010-01,1.076,
2010-04,1.062,
2010-07,1.038,
2010-10,1.040,
2011-01,1.087,
2011-04,1.088,
2011-07,1.112,
2011-10,1.116,
2012-01,1.058,
2012-04,1.053,
2012-07,1.021,
2012-10,0.955,
2013-01,0.897,
2013-04,0.876,
2013-07,0.831,
2013-10,0.845,
2014-01,0.992,
2014-04,0.960,
2014-07,0.914,
