"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:40,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,7.925,
1992-07,13.376,
1992-10,13.381,
1993-01,13.345,
1993-04,9.980,
1993-07,5.512,
1993-10,0.248,
1994-01,4.034,
1994-04,3.908,
1994-07,4.454,
1994-10,0.293,
1995-01,13.825,
1995-04,6.139,
1995-07,7.856,
1995-10,-0.372,
1996-01,9.990,
1996-04,23.086,
1996-07,-1.105,
1996-10,-18.595,
1997-01,15.651,
1997-04,29.653,
1997-07,6.410,
1997-10,16.559,
1998-01,16.794,
1998-04,15.070,
1998-07,-31.747,
1998-10,28.819,
1999-01,11.624,
1999-04,18.416,
1999-07,22.760,
1999-10,4.637,
2000-01,23.335,
2000-04,16.039,
2000-07,3.644,
2000-10,4.048,
2001-01,-30.155,
2001-04,-8.003,
2001-07,-0.185,
2001-10,5.053,
2002-01,13.051,
2002-04,-11.381,
2002-07,64.135,
2002-10,-27.115,
2003-01,14.057,
2003-04,-2.338,
2003-07,18.028,
2003-10,-41.545,
2004-01,29.117,
2004-04,17.775,
2004-07,35.156,
2004-10,-37.967,
2005-01,31.494,
2005-04,11.754,
2005-07,32.482,
2005-10,19.929,
2006-01,56.911,
2006-04,4.227,
2006-07,49.027,
2006-10,23.345,
2007-01,12.020,
2007-04,59.102,
2007-07,77.526,
2007-10,32.047,
2008-01,24.267,
2008-04,-20.607,
2008-07,-16.847,
2008-10,-24.768,
2009-01,-7.925,
2009-04,32.006,
2009-07,-17.187,
2009-10,-39.937,
2010-01,24.164,
2010-04,13.533,
2010-07,-6.470,
2010-10,-15.830,
2011-01,1.464,
2011-04,15.949,
2011-07,21.020,
2011-10,-14.098,
2012-01,43.163,
2012-04,15.921,
2012-07,-6.410,
2012-10,4.083,
2013-01,34.631,
2013-04,1.403,
2013-07,-3.429,
2013-10,-14.477,
2014-01,55.063,Provisional value
2014-04,8.020,Provisional value
2014-07,60.612,Provisional value
2014-10,196.107,Provisional value
