"",BBK01.OECB05H,BBK01.OECB05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:52,
2002-01,166.234,
2002-04,165.818,
2002-07,164.382,
2002-10,163.402,
2003-01,159.709,
2003-04,156.572,
2003-07,153.951,
2003-10,151.093,
2004-01,148.153,
2004-04,147.278,
2004-07,145.535,
2004-10,142.225,
2005-01,144.679,
2005-04,143.829,
2005-07,143.353,
2005-10,137.571,
2006-01,141.881,
2006-04,134.352,
2006-07,138.039,
2006-10,130.794,
2007-01,130.457,
2007-04,125.426,
2007-07,127.328,
2007-10,120.101,
2008-01,124.124,
2008-04,129.184,
2008-07,126.579,
2008-10,108.489,
2009-01,110.107,
2009-04,82.782,
2009-07,81.930,
2009-10,77.508,
2010-01,76.309,
2010-04,73.502,
2010-07,73.486,
2010-10,71.714,
2011-01,68.368,
2011-04,69.496,
2011-07,66.706,
2011-10,68.588,
2012-01,72.133,
2012-04,66.974,
2012-07,71.780,
2012-10,63.689,
2013-01,69.555,
2013-04,71.878,
2013-07,59.102,
2013-10,58.086,
2014-01,55.544,
2014-04,55.820,
2014-07,57.404,
