"",BBK01.OELB12V,BBK01.OELB12V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:55,
2002-01,0.659,
2002-04,0.675,
2002-07,0.675,
2002-10,0.685,
2003-01,0.684,
2003-04,0.686,
2003-07,0.697,
2003-10,0.685,
2004-01,0.674,
2004-04,0.660,
2004-07,0.663,
2004-10,0.677,
2005-01,0.675,
2005-04,0.688,
2005-07,0.706,
2005-10,0.715,
2006-01,0.735,
2006-04,0.737,
2006-07,0.737,
2006-10,0.718,
2007-01,0.721,
2007-04,0.733,
2007-07,0.753,
2007-10,0.766,
2008-01,0.786,
2008-04,0.812,
2008-07,0.844,
2008-10,0.860,
2009-01,0.869,
2009-04,0.870,
2009-07,0.888,
2009-10,0.914,
2010-01,0.955,
2010-04,0.914,
2010-07,0.958,
2010-10,0.950,
2011-01,0.972,
2011-04,1.041,
2011-07,1.093,
2011-10,1.139,
2012-01,1.157,
2012-04,1.228,
2012-07,1.285,
2012-10,1.343,
2013-01,1.349,
2013-04,1.408,
2013-07,1.460,
2013-10,1.490,
2014-01,1.535,
2014-04,1.571,
2014-07,1.696,
