"",BBK01.TQ7133,BBK01.TQ7133_FLAGS
"",Deposit takers - Gross liability position in financial derivatives                                        FSI-S330,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:26,
2005-10,656914,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,577829,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,689619,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1371740,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,898552,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,1060696,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,1254095,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,1097443,
2013-01,.,No value available
2013-04,857013,
2013-07,.,No value available
2013-10,697485,
2014-01,.,No value available
2014-04,678864,
