"",BBK01.OEAB20J,BBK01.OEAB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:55,
2002-01,6.821,
2002-04,6.884,
2002-07,6.530,
2002-10,6.577,
2003-01,6.626,
2003-04,6.665,
2003-07,6.759,
2003-10,6.836,
2004-01,6.840,
2004-04,6.861,
2004-07,6.923,
2004-10,6.967,
2005-01,7.611,
2005-04,7.663,
2005-07,7.766,
2005-10,7.763,
2006-01,7.756,
2006-04,7.694,
2006-07,7.726,
2006-10,7.702,
2007-01,7.649,
2007-04,7.633,
2007-07,7.618,
2007-10,7.564,
2008-01,7.492,
2008-04,7.502,
2008-07,7.341,
2008-10,7.334,
2009-01,7.310,
2009-04,7.314,
2009-07,6.692,
2009-10,6.666,
2010-01,6.629,
2010-04,6.604,
2010-07,6.623,
2010-10,6.620,
2011-01,6.588,
2011-04,6.583,
2011-07,6.616,
2011-10,6.638,
2012-01,6.621,
2012-04,6.726,
2012-07,6.731,
2012-10,6.749,
2013-01,6.746,
2013-04,6.778,
2013-07,6.825,
2013-10,6.859,
2014-01,6.653,
2014-04,6.707,
2014-07,6.518,
