"",BBDA1.M.DE.N.IM.S.GP09I028.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.GP09I028.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / 28 Machinery and equipment / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:58,
2008-01,5613979,
2008-02,5943879,
2008-03,5913239,
2008-04,6086390,
2008-05,5738016,
2008-06,5933561,
2008-07,5968495,
2008-08,5135525,
2008-09,5858487,
2008-10,5904027,
2008-11,5782063,
2008-12,4923311,
2009-01,4922312,
2009-02,4612924,
2009-03,4851822,
2009-04,4183199,
2009-05,4132401,
2009-06,4161309,
2009-07,4338060,
2009-08,3616857,
2009-09,4342769,
2009-10,4563741,
2009-11,4283514,
2009-12,4476892,
2010-01,4069211,
2010-02,4254047,
2010-03,5317367,
2010-04,4763878,
2010-05,4887731,
2010-06,5582780,
2010-07,5240335,
2010-08,4881453,
2010-09,5620563,
2010-10,5753555,
2010-11,5465818,
2010-12,5406891,
2011-01,5456884,
2011-02,5607411,
2011-03,6721062,
2011-04,6053778,
2011-05,6304672,
2011-06,6065821,
2011-07,5883808,
2011-08,5502879,
2011-09,5983073,
2011-10,6239012,
2011-11,6112279,
2011-12,5877756,
2012-01,5566685,
2012-02,6000031,
2012-03,6450644,
2012-04,5763466,
2012-05,6148542,
2012-06,6020735,
2012-07,5752125,
2012-08,5328116,
2012-09,5480784,
2012-10,6000783,
2012-11,5621702,
2012-12,4688622,
2013-01,5453932,
2013-02,5430514,
2013-03,5862361,
2013-04,5971096,
2013-05,5623919,
2013-06,5853362,
2013-07,5854719,
2013-08,5226857,
2013-09,5705268,
2013-10,6073488,
2013-11,5635216,
2013-12,5108109,
2014-01,5871778,
2014-02,5983674,
2014-03,6357989,
2014-04,6213473,
2014-05,6057029,
2014-06,6338179,
2014-07,6510259,
2014-08,5230734,
2014-09,6370191,
2014-10,6514811,
2014-11,5766093,
2014-12,5300013,
