"",BBK01.OECB11U,BBK01.OECB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:15,
2002-01,0.054,
2002-04,0.053,
2002-07,0.046,
2002-10,0.045,
2003-01,0.027,
2003-04,0.031,
2003-07,0.031,
2003-10,0.030,
2004-01,0.035,
2004-04,0.032,
2004-07,0.030,
2004-10,0.035,
2005-01,0.038,
2005-04,0.038,
2005-07,0.057,
2005-10,0.054,
2006-01,0.056,
2006-04,0.065,
2006-07,0.067,
2006-10,0.076,
2007-01,0.078,
2007-04,0.085,
2007-07,0.088,
2007-10,0.084,
2008-01,0.079,
2008-04,0.089,
2008-07,0.089,
2008-10,0.086,
2009-01,0.092,
2009-04,0.089,
2009-07,0.079,
2009-10,0.088,
2010-01,0.118,
2010-04,0.112,
2010-07,0.109,
2010-10,0.108,
2011-01,0.108,
2011-04,0.106,
2011-07,0.106,
2011-10,0.091,
2012-01,0.090,
2012-04,0.087,
2012-07,0.115,
2012-10,0.112,
2013-01,0.123,
2013-04,0.131,
2013-07,0.134,
2013-10,0.131,
2014-01,0.130,
2014-04,0.139,
2014-07,0.132,
