"",BBK01.OEBK01H,BBK01.OEBK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:49,
2002-01,6.938,
2002-04,6.841,
2002-07,7.142,
2002-10,7.158,
2003-01,7.036,
2003-04,7.019,
2003-07,6.728,
2003-10,6.282,
2004-01,6.350,
2004-04,5.902,
2004-07,6.220,
2004-10,6.077,
2005-01,6.524,
2005-04,7.285,
2005-07,6.783,
2005-10,6.927,
2006-01,6.998,
2006-04,7.472,
2006-07,7.447,
2006-10,8.050,
2007-01,8.045,
2007-04,8.360,
2007-07,9.308,
2007-10,9.603,
2008-01,9.997,
2008-04,10.091,
2008-07,10.548,
2008-10,10.392,
2009-01,9.770,
2009-04,9.681,
2009-07,9.686,
2009-10,9.509,
2010-01,9.333,
2010-04,9.275,
2010-07,9.104,
2010-10,8.837,
2011-01,9.100,
2011-04,9.327,
2011-07,9.507,
2011-10,9.671,
2012-01,9.980,
2012-04,10.049,
2012-07,10.198,
2012-10,10.195,
2013-01,10.153,
2013-04,10.330,
2013-07,10.934,
2013-10,11.339,
2014-01,12.321,
2014-04,12.069,
2014-07,12.342,
