"",BBK01.OEHK01L,BBK01.OEHK01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:25,
2002-01,2.603,
2002-04,2.636,
2002-07,2.674,
2002-10,2.575,
2003-01,2.680,
2003-04,2.651,
2003-07,2.637,
2003-10,2.697,
2004-01,2.594,
2004-04,2.321,
2004-07,2.557,
2004-10,2.472,
2005-01,2.505,
2005-04,2.458,
2005-07,2.546,
2005-10,2.607,
2006-01,2.670,
2006-04,2.759,
2006-07,2.883,
2006-10,2.959,
2007-01,2.982,
2007-04,3.149,
2007-07,3.323,
2007-10,3.451,
2008-01,3.492,
2008-04,3.550,
2008-07,3.720,
2008-10,3.816,
2009-01,3.584,
2009-04,3.651,
2009-07,3.574,
2009-10,3.650,
2010-01,3.650,
2010-04,3.667,
2010-07,3.675,
2010-10,3.686,
2011-01,3.698,
2011-04,3.729,
2011-07,3.878,
2011-10,4.038,
2012-01,3.960,
2012-04,3.988,
2012-07,4.055,
2012-10,4.088,
2013-01,4.030,
2013-04,4.068,
2013-07,4.149,
2013-10,4.306,
2014-01,4.288,
2014-04,4.427,
2014-07,4.531,
