"",BBFB1.Q.Y.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:15,
1991-01,17.30,
1991-04,17.68,
1991-07,17.71,
1991-10,17.46,
1992-01,17.40,
1992-04,17.75,
1992-07,18.36,
1992-10,17.42,
1993-01,18.11,
1993-04,17.96,
1993-07,17.23,
1993-10,17.29,
1994-01,16.30,
1994-04,15.97,
1994-07,16.13,
1994-10,17.74,
1995-01,17.12,
1995-04,16.76,
1995-07,16.94,
1995-10,16.78,
1996-01,17.62,
1996-04,16.94,
1996-07,18.02,
1996-10,18.85,
1997-01,19.31,
1997-04,19.35,
1997-07,19.61,
1997-10,21.18,
1998-01,19.61,
1998-04,20.21,
1998-07,20.59,
1998-10,20.80,
1999-01,20.16,
1999-04,23.51,
1999-07,22.37,
1999-10,25.01,
2000-01,27.43,
2000-04,29.07,
2000-07,29.27,
2000-10,33.35,
2001-01,27.70,
2001-04,27.02,
2001-07,25.54,
2001-10,25.58,
2002-01,26.95,
2002-04,26.72,
2002-07,27.35,
2002-10,26.81,
2003-01,27.11,
2003-04,27.21,
2003-07,28.21,
2003-10,29.05,
2004-01,33.66,
2004-04,34.55,
2004-07,36.44,
2004-10,37.84,
2005-01,39.30,
2005-04,40.85,
2005-07,43.09,
2005-10,44.50,
2006-01,47.83,
2006-04,51.36,
2006-07,53.78,
2006-10,55.95,
2007-01,63.05,
2007-04,63.82,
2007-07,61.86,
2007-10,59.56,
2008-01,54.17,
2008-04,50.71,
2008-07,47.65,
2008-10,45.98,
2009-01,46.57,
2009-04,45.57,
2009-07,46.04,
2009-10,46.80,
2010-01,47.85,
2010-04,49.78,
2010-07,50.70,
2010-10,53.03,
2011-01,53.37,
2011-04,54.83,
2011-07,55.67,
2011-10,54.92,
2012-01,54.33,
2012-04,53.40,
2012-07,54.16,
2012-10,54.07,
2013-01,52.96,
2013-04,51.80,
2013-07,51.44,
2013-10,51.95,
2014-01,50.40,
2014-04,51.54,Provisional value
2014-07,50.97,Provisional value
2014-10,50.12,Provisional value
