"",BBSF2.M.1.S.00000.GEM01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:04,
2009-09,8453,
2009-10,7987,
2009-11,8564,
2009-12,8782,
2010-01,8453,
2010-02,8465,
2010-03,9325,
2010-04,9140,
2010-05,8843,
2010-06,8755,
2010-07,8882,
2010-08,8694,
2010-09,9099,
2010-10,9837,
2010-11,9865,
2010-12,10651,
2011-01,11172,
2011-02,11342,
2011-03,11117,
2011-04,11800,
2011-05,11109,
2011-06,11257,
2011-07,10779,
2011-08,8591,
2011-09,8190,
2011-10,9080,
2011-11,7798,
2011-12,7673,
2012-01,8324,
2012-02,8960,
2012-03,9202,
2012-04,10168,
2012-05,8921,
2012-06,8952,
2012-07,9585,
2012-08,9718,
2012-09,10137,
2012-10,10227,
2012-11,10519,
2012-12,10702,
2013-01,11150,
2013-02,11049,
2013-03,11069,
2013-04,11310,
2013-05,11918,
2013-06,10747,
2013-07,11331,
2013-08,11063,
2013-09,11793,
2013-10,12336,
2013-11,12712,
2013-12,12132,
2014-01,11604,
2014-02,11983,
2014-03,11909,
2014-04,12283,
2014-05,12700,
2014-06,12214,
2014-07,11380,
2014-08,11675,
2014-09,11616,
2014-10,11554,
2014-11,12255,
