"",BBK01.OEXK02N,BBK01.OEXK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:06,
2002-01,2.395,
2002-04,2.532,
2002-07,2.468,
2002-10,2.712,
2003-01,2.757,
2003-04,2.733,
2003-07,2.880,
2003-10,3.079,
2004-01,2.980,
2004-04,2.875,
2004-07,2.923,
2004-10,1.657,
2005-01,1.929,
2005-04,2.598,
2005-07,2.064,
2005-10,2.059,
2006-01,2.169,
2006-04,2.275,
2006-07,2.127,
2006-10,2.149,
2007-01,2.224,
2007-04,2.331,
2007-07,2.311,
2007-10,2.330,
2008-01,2.251,
2008-04,2.214,
2008-07,2.141,
2008-10,1.961,
2009-01,2.112,
2009-04,2.411,
2009-07,2.588,
2009-10,2.762,
2010-01,2.914,
2010-04,3.007,
2010-07,3.109,
2010-10,3.157,
2011-01,3.107,
2011-04,3.154,
2011-07,3.298,
2011-10,3.230,
2012-01,3.410,
2012-04,3.446,
2012-07,3.527,
2012-10,3.620,
2013-01,3.632,
2013-04,3.992,
2013-07,4.233,
2013-10,4.572,
2014-01,4.496,
2014-04,4.274,
2014-07,4.442,
