"",BBSF2.M.1.P.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:52,
1993-04,-,Nothing exists
1993-05,52,
1993-06,15,
1993-07,3,
1993-08,355,
1993-09,9,
1993-10,311,
1993-11,1335,
1993-12,27,
1994-01,113,
1994-02,662,
1994-03,117,
1994-04,3,
1994-05,64,
1994-06,19,
1994-07,8,
1994-08,326,
1994-09,24,
1994-10,0,
1994-11,1467,
1994-12,8,
1995-01,124,
1995-02,748,
1995-03,108,
1995-04,5,
1995-05,63,
1995-06,32,
1995-07,273,
1995-08,273,
1995-09,37,
1995-10,1,
1995-11,1400,
1995-12,28,
1996-01,125,
1996-02,666,
1996-03,92,
1996-04,0,
1996-05,65,
1996-06,33,
1996-07,7,
1996-08,265,
1996-09,25,
1996-10,1,
1996-11,1310,
1996-12,12,
1997-01,169,
1997-02,664,
1997-03,114,
1997-04,1,
1997-05,40,
1997-06,43,
1997-07,9,
1997-08,264,
1997-09,29,
1997-10,21,
1997-11,1353,
1997-12,37,
1998-01,172,
1998-02,629,
1998-03,117,
1998-04,0,
1998-05,109,
1998-06,38,
1998-07,4,
1998-08,266,
1998-09,34,
1998-10,1,
1998-11,1189,
1998-12,48,
1999-01,197,
1999-02,804,
1999-03,109,
1999-04,1,
1999-05,59,
1999-06,51,
1999-07,1,
1999-08,335,
1999-09,29,
1999-10,0,
1999-11,1241,
1999-12,34,
2000-01,214,
2000-02,449,
2000-03,393,
2000-04,0,
2000-05,68,
2000-06,13,
2000-07,2,
2000-08,332,
2000-09,24,
2000-10,1,
2000-11,1118,
2000-12,55,
2001-01,202,
2001-02,428,
2001-03,386,
2001-04,0,
2001-05,93,
2001-06,46,
2001-07,3,
2001-08,411,
2001-09,25,
2001-10,2,
2001-11,781,
2001-12,31,
2002-01,236,
2002-02,359,
2002-03,340,
2002-04,5,
2002-05,125,
2002-06,68,
2002-07,2,
2002-08,388,
2002-09,30,
2002-10,5,
2002-11,995,
2002-12,24,
2003-01,38,
2003-02,531,
2003-03,349,
2003-04,-,Nothing exists
2003-05,123,
2003-06,57,
2003-07,2,
2003-08,380,
2003-09,28,
2003-10,6,
2003-11,999,
2003-12,12,
2004-01,52,
2004-02,443,
2004-03,323,
2004-04,3,
2004-05,154,
2004-06,56,
2004-07,3,
2004-08,285,
2004-09,24,
2004-10,2,
2004-11,835,
2004-12,72,
2005-01,42,
2005-02,487,
2005-03,297,
2005-04,6,
2005-05,176,
2005-06,67,
2005-07,1,
2005-08,336,
2005-09,26,
2005-10,3,
2005-11,429,
2005-12,93,
2006-01,56,
2006-02,460,
2006-03,342,
2006-04,20,
2006-05,244,
2006-06,59,
2006-07,18,
2006-08,218,
2006-09,25,
2006-10,2,
2006-11,707,
2006-12,65,
2007-01,56,
2007-02,488,
2007-03,205,
2007-04,12,
2007-05,245,
2007-06,50,
2007-07,2,
2007-08,155,
2007-09,10,
2007-10,19,
2007-11,563,
2007-12,65,
2008-01,39,
2008-02,419,
2008-03,262,
2008-04,35,
2008-05,186,
2008-06,43,
2008-07,36,
2008-08,134,
2008-09,13,
2008-10,15,
2008-11,449,
2008-12,118,
2009-01,40,
2009-02,165,
2009-03,153,
2009-04,9,
2009-05,262,
2009-06,51,
2009-07,5,
2009-08,92,
2009-09,1,
2009-10,48,
2009-11,496,
2009-12,175,
2010-01,46,
2010-02,119,
2010-03,130,
2010-04,30,
2010-05,117,
2010-06,38,
2010-07,15,
2010-08,98,
2010-09,47,
2010-10,28,
2010-11,490,
2010-12,172,
2011-01,46,
2011-02,173,
2011-03,122,
2011-04,39,
2011-05,261,
2011-06,62,
2011-07,23,
2011-08,89,
2011-09,15,
2011-10,36,
2011-11,502,
2011-12,44,
2012-01,96,
2012-02,156,
2012-03,130,
2012-04,47,
2012-05,241,
2012-06,49,
2012-07,36,
2012-08,97,
2012-09,16,
2012-10,34,
2012-11,525,
2012-12,108,
2013-01,20,
2013-02,163,
2013-03,120,
2013-04,53,
2013-05,181,
2013-06,38,
2013-07,13,
2013-08,111,
2013-09,16,
2013-10,40,
2013-11,512,
2013-12,105,
2014-01,22,
2014-02,123,
2014-03,152,
2014-04,61,
2014-05,133,
2014-06,51,
2014-07,14,
2014-08,114,
2014-09,14,
2014-10,40,
2014-11,336,
