"",BBK01.OEXM02N,BBK01.OEXM02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:37,
2002-01,0.226,
2002-04,0.224,
2002-07,0.201,
2002-10,0.437,
2003-01,0.320,
2003-04,0.520,
2003-07,0.396,
2003-10,0.663,
2004-01,0.506,
2004-04,0.563,
2004-07,0.730,
2004-10,0.083,
2005-01,0.146,
2005-04,0.123,
2005-07,0.166,
2005-10,0.087,
2006-01,0.130,
2006-04,0.206,
2006-07,0.226,
2006-10,0.327,
2007-01,0.322,
2007-04,0.226,
2007-07,0.302,
2007-10,0.330,
2008-01,0.342,
2008-04,0.343,
2008-07,0.794,
2008-10,0.284,
2009-01,0.403,
2009-04,0.632,
2009-07,0.644,
2009-10,0.226,
2010-01,0.247,
2010-04,0.446,
2010-07,0.244,
2010-10,0.212,
2011-01,0.235,
2011-04,0.280,
2011-07,0.879,
2011-10,0.483,
2012-01,0.587,
2012-04,1.163,
2012-07,1.098,
2012-10,2.903,
2013-01,2.383,
2013-04,3.228,
2013-07,3.072,
2013-10,1.988,
2014-01,3.836,
2014-04,2.736,
2014-07,2.559,
