"",BBFN1.M.DE.N.1.A.BE.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:22,
1994-07,2.597,
1994-08,2.658,
1994-09,2.970,
1994-10,2.964,
1994-11,2.985,
1994-12,2.976,
1995-01,2.829,
1995-02,2.886,
1995-03,2.944,
1995-04,3.068,
1995-05,3.174,
1995-06,3.210,
1995-07,3.072,
1995-08,3.088,
1995-09,3.184,
1995-10,3.094,
1995-11,3.118,
1995-12,2.797,
1996-01,2.852,
1996-02,3.022,
1996-03,3.037,
1996-04,2.898,
1996-05,2.904,
1996-06,3.108,
1996-07,2.761,
1996-08,2.855,
1996-09,3.085,
1996-10,3.138,
1996-11,3.279,
1996-12,2.915,
1997-01,2.892,
1997-02,3.039,
1997-03,3.356,
1997-04,3.228,
1997-05,3.406,
1997-06,3.444,
1997-07,3.066,
1997-08,3.052,
1997-09,3.238,
1997-10,3.392,
1997-11,3.564,
1997-12,3.292,
1998-01,3.599,
1998-02,3.842,
1998-03,4.134,
1998-04,4.010,
1998-05,4.154,
1998-06,4.111,
1998-07,4.149,
1998-08,3.984,
1998-09,3.624,
1998-10,3.749,
1998-11,3.672,
1998-12,3.362,
1999-01,3.349,
1999-02,3.559,
1999-03,3.686,
1999-04,3.686,
1999-05,3.618,
1999-06,3.767,
1999-07,3.641,
1999-08,3.576,
1999-09,3.793,
1999-10,3.824,
1999-11,3.920,
1999-12,3.670,
2000-01,3.759,
2000-02,3.983,
2000-03,4.214,
2000-04,4.211,
2000-05,4.287,
2000-06,4.231,
2000-07,4.043,
2000-08,4.114,
2000-09,4.435,
2000-10,4.415,
2000-11,4.492,
2000-12,4.033,
2001-01,4.656,
2001-02,4.392,
2001-03,4.609,
2001-04,4.286,
2001-05,4.386,
2001-06,4.512,
2001-07,4.073,
2001-08,4.063,
2001-09,4.463,
2001-10,4.386,
2001-11,4.561,
2001-12,3.934,
2002-01,4.522,
2002-02,4.452,
2002-03,4.275,
2002-04,4.506,
2002-05,4.204,
2002-06,4.263,
2002-07,3.961,
2002-08,3.938,
2002-09,4.084,
2002-10,4.138,
2002-11,4.149,
2002-12,3.462,
2003-01,4.036,
2003-02,3.933,
2003-03,4.242,
2003-04,4.124,
2003-05,4.232,
2003-06,4.103,
2003-07,3.843,
2003-08,3.828,
2003-09,4.103,
2003-10,4.338,
2003-11,4.533,
2003-12,3.721,
2004-01,4.263,
2004-02,4.277,
2004-03,4.530,
2004-04,4.399,
2004-05,4.512,
2004-06,4.536,
2004-07,4.057,
2004-08,4.186,
2004-09,4.424,
2004-10,4.552,
2004-11,4.778,
2004-12,4.094,
2005-01,4.298,
2005-02,4.609,
2005-03,4.754,
2005-04,4.908,
2005-05,4.647,
2005-06,4.664,
2005-07,4.430,
2005-08,4.393,
2005-09,4.714,
2005-10,4.797,
2005-11,4.629,
2005-12,4.045,
2006-01,4.517,
2006-02,5.087,
2006-03,5.171,
2006-04,5.349,
2006-05,4.937,
2006-06,5.142,
2006-07,4.595,
2006-08,4.451,
2006-09,4.796,
2006-10,4.952,
2006-11,4.839,
2006-12,4.252,
2007-01,4.563,
2007-02,4.723,
2007-03,5.128,
2007-04,4.919,
2007-05,4.727,
2007-06,4.751,
2007-07,4.439,
2007-08,4.401,
2007-09,4.765,
2007-10,4.474,
2007-11,4.842,
2007-12,4.431,
2008-01,4.660,
2008-02,4.691,
2008-03,4.848,
2008-04,4.749,
2008-05,4.837,
2008-06,4.832,
2008-07,4.465,
2008-08,4.813,
2008-09,4.783,
2008-10,4.863,
2008-11,4.921,
2008-12,4.095,
2009-01,4.342,
2009-02,4.002,
2009-03,4.224,
2009-04,4.121,
2009-05,4.087,
2009-06,4.206,
2009-07,3.753,
2009-08,3.890,
2009-09,4.097,
2009-10,4.201,
2009-11,4.309,
2009-12,3.652,
2010-01,4.252,
2010-02,4.267,
2010-03,4.312,
2010-04,4.146,
2010-05,4.204,
2010-06,4.470,
2010-07,4.304,
2010-08,4.133,
2010-09,4.494,
2010-10,4.769,
2010-11,4.444,
2010-12,4.001,
2011-01,4.477,
2011-02,4.951,
2011-03,4.996,
2011-04,5.024,
2011-05,4.776,
2011-06,4.918,
2011-07,4.730,
2011-08,4.333,
2011-09,4.858,
2011-10,4.869,
2011-11,4.790,
2011-12,4.808,
2012-01,4.976,
2012-02,5.005,
2012-03,5.188,
2012-04,5.061,
2012-05,4.718,
2012-06,5.032,
2012-07,4.709,
2012-08,4.607,
2012-09,5.028,
2012-10,4.452,
2012-11,4.842,
2012-12,4.253,
2013-01,4.570,
2013-02,4.737,
2013-03,5.024,
2013-04,4.701,
2013-05,4.610,
2013-06,5.020,
2013-07,4.479,
2013-08,4.536,
2013-09,4.868,
2013-10,4.477,
2013-11,5.066,
2013-12,4.274,
2014-01,4.758,
2014-02,5.017,
2014-03,5.113,
2014-04,5.085,
2014-05,4.726,
2014-06,5.153,
2014-07,4.622,
2014-08,4.592,
2014-09,4.957,
2014-10,4.710,
2014-11,5.586,
2014-12,4.603,
