"",BBK01.OEAG04O,BBK01.OEAG04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:28,
2002-01,1.030,
2002-04,0.858,
2002-07,1.116,
2002-10,1.442,
2003-01,1.746,
2003-04,1.798,
2003-07,1.896,
2003-10,2.128,
2004-01,2.255,
2004-04,2.364,
2004-07,2.963,
2004-10,4.680,
2005-01,7.449,
2005-04,7.196,
2005-07,7.278,
2005-10,7.669,
2006-01,7.574,
2006-04,7.487,
2006-07,7.791,
2006-10,7.988,
2007-01,7.746,
2007-04,7.787,
2007-07,7.626,
2007-10,7.447,
2008-01,7.442,
2008-04,7.344,
2008-07,6.453,
2008-10,6.086,
2009-01,6.130,
2009-04,6.220,
2009-07,6.310,
2009-10,6.673,
2010-01,6.957,
2010-04,7.508,
2010-07,8.479,
2010-10,8.988,
2011-01,8.863,
2011-04,9.385,
2011-07,9.297,
2011-10,9.088,
2012-01,9.198,
2012-04,9.859,
2012-07,9.763,
2012-10,10.061,
2013-01,9.900,
2013-04,9.727,
2013-07,10.981,
2013-10,10.481,
2014-01,10.589,
2014-04,10.293,
2014-07,10.292,
