"",BBK01.OEAE08N,BBK01.OEAE08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:36,
2002-01,2.069,
2002-04,2.103,
2002-07,2.297,
2002-10,2.217,
2003-01,2.262,
2003-04,2.262,
2003-07,2.326,
2003-10,2.315,
2004-01,2.242,
2004-04,2.080,
2004-07,2.248,
2004-10,2.395,
2005-01,3.501,
2005-04,3.533,
2005-07,3.567,
2005-10,3.804,
2006-01,3.882,
2006-04,3.875,
2006-07,4.128,
2006-10,4.181,
2007-01,4.101,
2007-04,4.225,
2007-07,4.378,
2007-10,4.856,
2008-01,4.654,
2008-04,4.446,
2008-07,4.930,
2008-10,5.080,
2009-01,4.449,
2009-04,3.743,
2009-07,3.847,
2009-10,3.330,
2010-01,3.051,
2010-04,3.077,
2010-07,3.071,
2010-10,3.223,
2011-01,3.048,
2011-04,2.987,
2011-07,2.918,
2011-10,2.878,
2012-01,2.757,
2012-04,2.731,
2012-07,2.135,
2012-10,2.154,
2013-01,2.008,
2013-04,1.938,
2013-07,1.810,
2013-10,1.818,
2014-01,1.786,
2014-04,1.867,
2014-07,1.737,
