"",BBK01.OEYI04R,BBK01.OEYI04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:58,
2002-01,0.062,
2002-04,0.062,
2002-07,0.063,
2002-10,0.091,
2003-01,0.005,
2003-04,0.001,
2003-07,0.003,
2003-10,0.003,
2004-01,0.004,
2004-04,0.005,
2004-07,0.005,
2004-10,0.035,
2005-01,0.007,
2005-04,0.007,
2005-07,0.088,
2005-10,0.007,
2006-01,0.007,
2006-04,0.006,
2006-07,0.012,
2006-10,0.004,
2007-01,0.005,
2007-04,0.007,
2007-07,0.005,
2007-10,0.002,
2008-01,0.001,
2008-04,0.012,
2008-07,0.001,
2008-10,0.021,
2009-01,0.025,
2009-04,0.017,
2009-07,0.031,
2009-10,0.043,
2010-01,0.036,
2010-04,0.003,
2010-07,0.001,
2010-10,0.001,
2011-01,0.001,
2011-04,0.001,
2011-07,0.001,
2011-10,0.002,
2012-01,-,Nothing exists
2012-04,0.002,
2012-07,0.002,
2012-10,0.002,
2013-01,0.001,
2013-04,0.001,
2013-07,0.001,
2013-10,0.001,
2014-01,0.001,
2014-04,0.001,
2014-07,0.021,
