"",BBK01.OECB09H,BBK01.OECB09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:53,
2002-01,47.506,
2002-04,47.477,
2002-07,47.303,
2002-10,47.166,
2003-01,44.636,
2003-04,42.844,
2003-07,42.245,
2003-10,41.269,
2004-01,42.163,
2004-04,41.330,
2004-07,40.319,
2004-10,38.783,
2005-01,39.996,
2005-04,40.737,
2005-07,42.013,
2005-10,38.607,
2006-01,45.686,
2006-04,41.280,
2006-07,46.233,
2006-10,41.833,
2007-01,44.460,
2007-04,41.165,
2007-07,45.786,
2007-10,41.068,
2008-01,47.816,
2008-04,54.913,
2008-07,54.326,
2008-10,39.072,
2009-01,42.979,
2009-04,37.820,
2009-07,38.090,
2009-10,35.538,
2010-01,35.616,
2010-04,33.969,
2010-07,35.212,
2010-10,32.687,
2011-01,31.581,
2011-04,32.819,
2011-07,29.333,
2011-10,28.267,
2012-01,35.080,
2012-04,31.355,
2012-07,36.425,
2012-10,30.369,
2013-01,36.470,
2013-04,38.763,
2013-07,26.194,
2013-10,25.645,
2014-01,24.978,
2014-04,25.133,
2014-07,26.514,
