"",BBK01.OECL09V,BBK01.OECL09V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:18,
2002-01,0.046,
2002-04,0.047,
2002-07,0.047,
2002-10,0.047,
2003-01,0.046,
2003-04,0.044,
2003-07,0.044,
2003-10,0.044,
2004-01,0.043,
2004-04,0.044,
2004-07,0.043,
2004-10,0.045,
2005-01,0.045,
2005-04,0.044,
2005-07,0.042,
2005-10,0.042,
2006-01,0.041,
2006-04,0.041,
2006-07,0.047,
2006-10,0.050,
2007-01,0.052,
2007-04,0.054,
2007-07,0.057,
2007-10,0.064,
2008-01,0.066,
2008-04,0.067,
2008-07,0.081,
2008-10,0.116,
2009-01,0.121,
2009-04,0.119,
2009-07,0.121,
2009-10,0.100,
2010-01,0.088,
2010-04,0.082,
2010-07,0.081,
2010-10,0.087,
2011-01,0.090,
2011-04,0.091,
2011-07,0.090,
2011-10,0.089,
2012-01,0.086,
2012-04,0.088,
2012-07,0.082,
2012-10,0.074,
2013-01,0.066,
2013-04,0.061,
2013-07,0.058,
2013-10,0.057,
2014-01,0.055,
2014-04,0.068,
2014-07,0.074,
