"",BBK01.OEAE07P,BBK01.OEAE07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:05,
2002-01,0.696,
2002-04,0.711,
2002-07,0.698,
2002-10,0.712,
2003-01,0.704,
2003-04,0.705,
2003-07,0.695,
2003-10,0.716,
2004-01,0.711,
2004-04,0.711,
2004-07,0.705,
2004-10,0.744,
2005-01,0.726,
2005-04,0.720,
2005-07,0.724,
2005-10,0.726,
2006-01,0.717,
2006-04,0.712,
2006-07,0.711,
2006-10,0.713,
2007-01,0.709,
2007-04,0.709,
2007-07,0.700,
2007-10,0.747,
2008-01,0.742,
2008-04,0.742,
2008-07,0.739,
2008-10,0.735,
2009-01,0.721,
2009-04,0.732,
2009-07,0.745,
2009-10,0.712,
2010-01,0.724,
2010-04,0.735,
2010-07,0.723,
2010-10,0.730,
2011-01,0.716,
2011-04,0.717,
2011-07,0.717,
2011-10,0.722,
2012-01,0.721,
2012-04,1.024,
2012-07,1.049,
2012-10,1.068,
2013-01,1.054,
2013-04,1.047,
2013-07,0.937,
2013-10,0.959,
2014-01,0.944,
2014-04,0.949,
2014-07,0.940,
