"",BBFN1.M.DE.N.1.A.KW.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KW.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Kuwait,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:36,
1994-12,0.080,
1995-01,0.092,
1995-02,0.091,
1995-03,0.094,
1995-04,0.094,
1995-05,0.093,
1995-06,0.093,
1995-07,0.099,
1995-08,0.088,
1995-09,0.096,
1995-10,0.096,
1995-11,0.086,
1995-12,0.100,
1996-01,0.085,
1996-02,0.083,
1996-03,0.090,
1996-04,0.078,
1996-05,0.075,
1996-06,0.105,
1996-07,0.105,
1996-08,0.090,
1996-09,0.108,
1996-10,0.102,
1996-11,0.094,
1996-12,0.098,
1997-01,0.089,
1997-02,0.112,
1997-03,0.098,
1997-04,0.109,
1997-05,0.114,
1997-06,0.112,
1997-07,0.134,
1997-08,0.128,
1997-09,0.123,
1997-10,0.132,
1997-11,0.127,
1997-12,0.118,
1998-01,0.118,
1998-02,0.115,
1998-03,0.124,
1998-04,0.124,
1998-05,0.124,
1998-06,0.104,
1998-07,0.124,
1998-08,0.115,
1998-09,0.105,
1998-10,0.111,
1998-11,0.117,
1998-12,0.120,
1999-01,0.107,
1999-02,0.109,
1999-03,0.113,
1999-04,0.093,
1999-05,0.107,
1999-06,0.105,
1999-07,0.121,
1999-08,0.126,
1999-09,0.139,
1999-10,0.150,
1999-11,0.156,
1999-12,0.181,
2000-01,0.184,
2000-02,0.163,
2000-03,0.157,
2000-04,0.168,
2000-05,0.166,
2000-06,0.165,
2000-07,0.172,
2000-08,0.181,
2000-09,0.172,
2000-10,0.157,
2000-11,0.176,
2000-12,0.231,
2001-01,0.231,
2001-02,0.231,
2001-03,0.213,
2001-04,0.242,
2001-05,0.199,
2001-06,0.249,
2001-07,0.208,
2001-08,0.206,
2001-09,0.224,
2001-10,0.232,
2001-11,0.244,
2001-12,0.254,
2002-01,0.210,
2002-02,0.211,
2002-03,0.242,
2002-04,0.243,
2002-05,0.227,
2002-06,0.256,
2002-07,0.240,
2002-08,0.216,
2002-09,0.225,
2002-10,0.225,
2002-11,0.241,
2002-12,0.224,
2003-01,0.250,
2003-02,0.198,
2003-03,0.194,
2003-04,0.183,
2003-05,0.173,
2003-06,0.181,
2003-07,0.171,
2003-08,0.168,
2003-09,0.162,
2003-10,0.165,
2003-11,0.178,
2003-12,0.198,
2004-01,0.185,
2004-02,0.181,
2004-03,0.189,
2004-04,0.190,
2004-05,0.197,
2004-06,0.207,
2004-07,0.198,
2004-08,0.202,
2004-09,0.184,
2004-10,0.192,
2004-11,0.203,
2004-12,0.238,
2005-01,0.170,
2005-02,0.215,
2005-03,0.215,
2005-04,0.309,
2005-05,0.265,
2005-06,0.297,
2005-07,0.229,
2005-08,0.238,
2005-09,0.250,
2005-10,0.256,
2005-11,0.261,
2005-12,0.270,
2006-01,0.257,
2006-02,0.267,
2006-03,0.249,
2006-04,0.220,
2006-05,0.214,
2006-06,0.279,
2006-07,0.283,
2006-08,0.252,
2006-09,0.222,
2006-10,0.228,
2006-11,0.229,
2006-12,0.235,
2007-01,0.237,
2007-02,0.246,
2007-03,0.272,
2007-04,0.282,
2007-05,0.255,
2007-06,0.260,
2007-07,0.264,
2007-08,0.252,
2007-09,0.240,
2007-10,0.249,
2007-11,0.245,
2007-12,0.276,
2008-01,0.251,
2008-02,0.258,
2008-03,0.320,
2008-04,0.312,
2008-05,0.236,
2008-06,0.212,
2008-07,0.219,
2008-08,0.219,
2008-09,0.237,
2008-10,0.231,
2008-11,0.233,
2008-12,0.272,
2009-01,0.260,
2009-02,0.244,
2009-03,0.240,
2009-04,0.225,
2009-05,0.238,
2009-06,0.260,
2009-07,0.267,
2009-08,0.244,
2009-09,0.241,
2009-10,0.228,
2009-11,0.241,
2009-12,0.253,
2010-01,0.222,
2010-02,0.215,
2010-03,0.204,
2010-04,0.206,
2010-05,0.221,
2010-06,0.194,
2010-07,0.216,
2010-08,0.217,
2010-09,0.331,
2010-10,0.306,
2010-11,0.305,
2010-12,0.311,
2011-01,0.284,
2011-02,0.289,
2011-03,0.324,
2011-04,0.315,
2011-05,0.332,
2011-06,0.362,
2011-07,0.349,
2011-08,0.340,
2011-09,0.365,
2011-10,0.342,
2011-11,0.335,
2011-12,0.376,
2012-01,0.364,
2012-02,0.351,
2012-03,0.354,
2012-04,0.347,
2012-05,0.320,
2012-06,0.337,
2012-07,0.360,
2012-08,0.344,
2012-09,0.340,
2012-10,0.318,
2012-11,0.315,
2012-12,0.353,
2013-01,0.367,
2013-02,0.384,
2013-03,0.332,
2013-04,0.301,
2013-05,0.281,
2013-06,0.282,
2013-07,0.251,
2013-08,0.283,
2013-09,0.310,
2013-10,0.303,
2013-11,0.289,
2013-12,0.303,
2014-01,0.276,
2014-02,0.280,
2014-03,0.281,
2014-04,0.304,
2014-05,0.328,
2014-06,0.337,
2014-07,0.324,
2014-08,0.266,
2014-09,0.293,
2014-10,0.305,
2014-11,0.308,
2014-12,0.332,
