"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:25,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,1.334,
1992-07,3.108,
1992-10,3.851,
1993-01,9.147,
1993-04,7.357,
1993-07,10.056,
1993-10,5.468,
1994-01,33.722,
1994-04,24.095,
1994-07,25.328,
1994-10,-13.421,
1995-01,25.163,
1995-04,36.595,
1995-07,23.814,
1995-10,37.897,
1996-01,46.126,
1996-04,31.706,
1996-07,46.577,
1996-10,96.867,
1997-01,14.724,
1997-04,54.689,
1997-07,44.183,
1997-10,60.734,
1998-01,89.202,
1998-04,79.410,
1998-07,90.346,
1998-10,71.407,
1999-01,48.132,
1999-04,103.049,
1999-07,77.805,
1999-10,125.401,
2000-01,40.432,
2000-04,95.058,
2000-07,20.506,
2000-10,117.214,
2001-01,11.435,
2001-04,146.502,
2001-07,165.584,
2001-10,-23.775,
2002-01,98.310,
2002-04,43.519,
2002-07,103.412,
2002-10,78.335,
2003-01,-18.725,
2003-04,-416.942,
2003-07,225.753,
2003-10,133.205,
2004-01,228.708,
2004-04,220.628,
2004-07,187.640,
2004-10,-1125.376,
2005-01,544.752,
2005-04,388.911,
2005-07,-952.489,
2005-10,233.255,
2006-01,691.156,
2006-04,749.339,
2006-07,841.039,
2006-10,1016.709,
2007-01,662.551,
2007-04,1201.796,
2007-07,601.116,
2007-10,4932.410,
2008-01,1385.541,
2008-04,1417.234,
2008-07,45.175,
2008-10,755.978,
2009-01,280.135,
2009-04,512.556,
2009-07,-344.344,
2009-10,229.846,
2010-01,800.480,
2010-04,980.126,
2010-07,-509.203,
2010-10,622.658,
2011-01,1489.716,
2011-04,720.004,
2011-07,-581.987,
2011-10,159.625,
2012-01,998.197,
2012-04,745.802,
2012-07,-865.208,
2012-10,212.649,
2013-01,1179.348,
2013-04,-72.272,
2013-07,-1133.013,
2013-10,351.486,
2014-01,1299.028,Provisional value
2014-04,26.319,Provisional value
2014-07,-1155.378,Provisional value
2014-10,374.231,Provisional value
