"",BBK01.OEYI10O,BBK01.OEYI10O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:35,
2002-01,2.307,
2002-04,2.306,
2002-07,2.300,
2002-10,2.300,
2003-01,2.288,
2003-04,2.282,
2003-07,2.264,
2003-10,2.034,
2004-01,1.998,
2004-04,1.546,
2004-07,1.545,
2004-10,4.740,
2005-01,4.799,
2005-04,5.201,
2005-07,4.922,
2005-10,4.801,
2006-01,4.663,
2006-04,4.655,
2006-07,4.709,
2006-10,4.770,
2007-01,4.784,
2007-04,4.701,
2007-07,4.664,
2007-10,4.774,
2008-01,4.787,
2008-04,4.805,
2008-07,4.820,
2008-10,4.801,
2009-01,4.767,
2009-04,4.800,
2009-07,4.822,
2009-10,5.953,
2010-01,5.921,
2010-04,5.952,
2010-07,5.931,
2010-10,1.746,
2011-01,1.715,
2011-04,1.689,
2011-07,1.667,
2011-10,1.638,
2012-01,1.093,
2012-04,1.052,
2012-07,1.075,
2012-10,1.010,
2013-01,1.023,
2013-04,0.927,
2013-07,0.537,
2013-10,0.524,
2014-01,0.522,
2014-04,0.470,
2014-07,0.454,
