"",BBSF2.M.1.S.I0011.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0011.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Non-financial corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:31,
2009-09,21,
2009-10,3,
2009-11,13,
2009-12,105,
2010-01,120,
2010-02,27,
2010-03,179,
2010-04,25,
2010-05,17,
2010-06,14,
2010-07,7,
2010-08,1,
2010-09,6,
2010-10,8,
2010-11,82,
2010-12,33,
2011-01,1,
2011-02,169,
2011-03,17,
2011-04,27,
2011-05,5,
2011-06,21,
2011-07,14,
2011-08,167,
2011-09,13,
2011-10,30,
2011-11,61,
2011-12,93,
2012-01,6,
2012-02,30,
2012-03,6,
2012-04,11,
2012-05,34,
2012-06,8,
2012-07,57,
2012-08,55,
2012-09,1,
2012-10,51,
2012-11,1,
2012-12,140,
2013-01,23,
2013-02,32,
2013-03,265,
2013-04,109,
2013-05,13,
2013-06,155,
2013-07,212,
2013-08,5,
2013-09,28,
2013-10,32,
2013-11,59,
2013-12,118,
2014-01,30,
2014-02,44,
2014-03,34,
2014-04,56,
2014-05,3,
2014-06,10,
2014-07,24,
2014-08,52,
2014-09,9,
2014-10,310,
2014-11,46,
