"",BBK01.OEXI07U,BBK01.OEXI07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:11,
2002-01,0.657,
2002-04,0.632,
2002-07,0.627,
2002-10,0.637,
2003-01,0.625,
2003-04,0.606,
2003-07,0.593,
2003-10,0.602,
2004-01,0.594,
2004-04,0.536,
2004-07,0.520,
2004-10,0.505,
2005-01,0.531,
2005-04,0.523,
2005-07,0.491,
2005-10,0.506,
2006-01,0.512,
2006-04,0.511,
2006-07,0.503,
2006-10,0.560,
2007-01,0.645,
2007-04,0.669,
2007-07,0.698,
2007-10,0.780,
2008-01,0.834,
2008-04,0.853,
2008-07,0.872,
2008-10,1.014,
2009-01,0.983,
2009-04,0.930,
2009-07,0.946,
2009-10,0.907,
2010-01,0.836,
2010-04,0.813,
2010-07,0.793,
2010-10,0.877,
2011-01,0.933,
2011-04,0.932,
2011-07,0.915,
2011-10,0.906,
2012-01,0.879,
2012-04,0.878,
2012-07,0.879,
2012-10,0.825,
2013-01,0.771,
2013-04,0.733,
2013-07,0.720,
2013-10,0.708,
2014-01,0.695,
2014-04,0.672,
2014-07,0.719,
