"",BBK01.OEAH46P,BBK01.OEAH46P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:40,
2002-01,0.312,
2002-04,0.285,
2002-07,0.265,
2002-10,0.238,
2003-01,0.265,
2003-04,0.265,
2003-07,0.278,
2003-10,0.243,
2004-01,0.268,
2004-04,0.242,
2004-07,0.241,
2004-10,0.235,
2005-01,0.189,
2005-04,0.184,
2005-07,0.187,
2005-10,0.164,
2006-01,0.182,
2006-04,0.198,
2006-07,0.224,
2006-10,0.229,
2007-01,0.273,
2007-04,0.277,
2007-07,0.286,
2007-10,0.315,
2008-01,0.323,
2008-04,0.309,
2008-07,0.369,
2008-10,0.394,
2009-01,0.346,
2009-04,0.317,
2009-07,0.318,
2009-10,0.285,
2010-01,0.228,
2010-04,0.252,
2010-07,0.238,
2010-10,0.241,
2011-01,0.236,
2011-04,0.254,
2011-07,0.230,
2011-10,0.245,
2012-01,0.250,
2012-04,0.244,
2012-07,0.239,
2012-10,0.231,
2013-01,0.219,
2013-04,0.210,
2013-07,0.206,
2013-10,0.202,
2014-01,0.208,
2014-04,0.205,
2014-07,0.203,
