"",BBK01.OEAM04K,BBK01.OEAM04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:30,
2002-01,3.890,
2002-04,4.114,
2002-07,2.713,
2002-10,3.342,
2003-01,1.973,
2003-04,1.872,
2003-07,2.349,
2003-10,2.474,
2004-01,1.853,
2004-04,2.347,
2004-07,4.280,
2004-10,2.584,
2005-01,1.761,
2005-04,1.108,
2005-07,1.215,
2005-10,0.996,
2006-01,1.586,
2006-04,2.210,
2006-07,2.437,
2006-10,2.390,
2007-01,2.313,
2007-04,2.372,
2007-07,1.632,
2007-10,1.776,
2008-01,1.420,
2008-04,2.172,
2008-07,2.562,
2008-10,2.364,
2009-01,1.353,
2009-04,1.667,
2009-07,1.692,
2009-10,1.863,
2010-01,1.465,
2010-04,1.581,
2010-07,1.428,
2010-10,1.187,
2011-01,1.136,
2011-04,1.480,
2011-07,1.476,
2011-10,1.299,
2012-01,1.207,
2012-04,1.615,
2012-07,1.128,
2012-10,1.335,
2013-01,1.632,
2013-04,2.313,
2013-07,2.088,
2013-10,1.863,
2014-01,1.477,
2014-04,2.087,
2014-07,2.286,
