"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F519._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F519._Z._T.M.N_FLAGS
"",IIP - Direct investment - Other equity (e.g. real estate) - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:17,
1999-10,190693,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,249229,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,303996,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,293242,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,303115,
2004-01,303333,
2004-04,308159,
2004-07,308427,
2004-10,294831,
2005-01,324820,
2005-04,340195,
2005-07,347925,
2005-10,324501,
2006-01,327778,
2006-04,334344,
2006-07,339950,
2006-10,358996,
2007-01,365835,
2007-04,383562,
2007-07,388196,
2007-10,414735,
2008-01,412344,
2008-04,417915,
2008-07,427664,
2008-10,401684,
2009-01,413377,
2009-04,419789,
2009-07,418791,
2009-10,433535,
2010-01,448678,
2010-04,470834,
2010-07,460028,
2010-10,479926,
2011-01,480016,
2011-04,488049,
2011-07,505051,
2011-10,514740,
2012-01,520768,
2012-04,533857,
2012-07,539149,
2012-10,544612,
2013-01,556342,
2013-04,552617,
2013-07,554452,
2013-10,555118,
2014-01,563002,
2014-04,572108,
2014-07,588295,
