"",BBK01.QUV643,BBK01.QUV643_FLAGS
"",Banks in Germany: Short-term loans and advances to foreign banks / Denmark / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:12:29,
2001-12,3.400,
2002-01,2.897,
2002-02,4.652,
2002-03,5.568,
2002-04,6.409,
2002-05,3.499,
2002-06,3.598,
2002-07,2.856,
2002-08,2.577,
2002-09,2.737,
2002-10,2.765,
2002-11,2.722,
2002-12,3.831,
2003-01,3.603,
2003-02,3.875,
2003-03,3.470,
2003-04,2.870,
2003-05,3.339,
2003-06,4.934,
2003-07,4.259,
2003-08,3.196,
2003-09,4.856,
2003-10,4.624,
2003-11,5.189,
2003-12,4.811,
2004-01,4.622,
2004-02,5.712,
2004-03,4.699,
2004-04,5.653,
2004-05,5.066,
2004-06,5.483,
2004-07,6.497,
2004-08,7.137,
2004-09,8.523,
2004-10,9.777,
2004-11,8.234,
2004-12,9.196,
2005-01,10.563,
2005-02,11.814,
2005-03,11.605,
2005-04,11.527,
2005-05,9.658,
2005-06,10.846,
2005-07,11.175,
2005-08,8.689,
2005-09,10.604,
2005-10,9.634,
2005-11,9.766,
2005-12,10.047,
2006-01,9.958,
2006-02,9.455,
2006-03,10.210,
2006-04,11.180,
2006-05,10.691,
2006-06,12.253,
2006-07,10.890,
2006-08,9.442,
2006-09,13.091,
2006-10,10.552,
2006-11,10.190,
2006-12,14.967,
2007-01,10.716,
2007-02,9.783,
2007-03,12.161,
2007-04,11.426,
2007-05,10.392,
2007-06,14.362,
2007-07,11.804,
2007-08,5.413,
2007-09,8.578,
2007-10,9.251,
2007-11,8.550,
2007-12,14.952,
2008-01,8.587,
2008-02,7.202,
2008-03,9.415,
2008-04,8.394,
2008-05,10.655,
2008-06,13.055,
2008-07,12.557,
2008-08,10.204,
2008-09,14.103,
2008-10,13.674,
2008-11,7.573,
2008-12,13.440,
2009-01,6.934,
2009-02,8.367,
2009-03,5.141,
2009-04,9.150,
2009-05,9.750,
2009-06,7.433,
2009-07,5.117,
2009-08,5.492,
2009-09,5.977,
2009-10,9.952,
2009-11,11.187,
2009-12,12.810,
2010-01,14.301,
2010-02,14.944,
2010-03,14.875,
2010-04,13.599,
2010-05,14.684,
2010-06,12.592,
2010-07,11.329,
2010-08,12.571,
2010-09,12.252,
2010-10,11.984,
2010-11,11.888,
2010-12,9.382,
2011-01,8.314,
2011-02,10.668,
2011-03,9.428,
2011-04,8.802,
2011-05,7.376,
2011-06,4.269,
2011-07,3.694,
2011-08,3.945,
2011-09,3.144,
2011-10,7.232,
2011-11,3.628,
2011-12,6.307,
2012-01,8.072,
2012-02,10.887,
2012-03,6.218,
2012-04,6.331,
2012-05,8.776,
2012-06,7.659,
2012-07,9.172,
2012-08,10.849,
2012-09,7.800,
2012-10,9.018,
2012-11,9.066,
2012-12,6.515,
2013-01,8.259,
2013-02,8.604,
2013-03,8.252,
2013-04,7.971,
2013-05,7.803,
2013-06,8.855,
2013-07,6.495,
2013-08,9.048,
2013-09,8.766,
2013-10,7.323,
2013-11,8.964,
2013-12,6.594,
2014-01,8.825,
2014-02,11.018,
2014-03,9.177,
2014-04,9.569,
2014-05,10.103,
2014-06,4.250,
2014-07,5.707,
2014-08,4.317,
2014-09,7.288,
2014-10,6.724,
2014-11,6.803,
2014-12,9.467,
