"",BBK01.OECL07S,BBK01.OECL07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:03,
2002-01,0.459,
2002-04,0.361,
2002-07,0.365,
2002-10,0.379,
2003-01,0.367,
2003-04,0.348,
2003-07,0.387,
2003-10,0.357,
2004-01,0.346,
2004-04,0.339,
2004-07,0.371,
2004-10,0.386,
2005-01,1.334,
2005-04,1.333,
2005-07,1.345,
2005-10,1.353,
2006-01,1.363,
2006-04,1.353,
2006-07,1.284,
2006-10,1.276,
2007-01,1.309,
2007-04,1.297,
2007-07,1.268,
2007-10,1.284,
2008-01,1.283,
2008-04,1.322,
2008-07,1.287,
2008-10,1.285,
2009-01,1.313,
2009-04,1.362,
2009-07,1.429,
2009-10,1.490,
2010-01,1.512,
2010-04,1.489,
2010-07,1.496,
2010-10,1.514,
2011-01,1.501,
2011-04,1.487,
2011-07,1.484,
2011-10,1.488,
2012-01,1.590,
2012-04,1.569,
2012-07,1.569,
2012-10,1.614,
2013-01,1.618,
2013-04,1.602,
2013-07,1.573,
2013-10,1.575,
2014-01,1.563,
2014-04,1.534,
2014-07,1.570,
