"",BBK01.OUA377,BBK01.OUA377_FLAGS
"",Loans to foreign general government for up to and including one year / All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:46,
1999-01,1.032,
1999-02,1.080,
1999-03,1.306,
1999-04,1.408,
1999-05,1.593,
1999-06,1.359,
1999-07,1.844,
1999-08,1.705,
1999-09,1.329,
1999-10,1.359,
1999-11,1.353,
1999-12,1.377,
2000-01,1.590,
2000-02,1.242,
2000-03,1.190,
2000-04,1.144,
2000-05,0.932,
2000-06,0.977,
2000-07,1.037,
2000-08,1.413,
2000-09,1.143,
2000-10,1.192,
2000-11,1.506,
2000-12,1.313,
2001-01,3.965,
2001-02,1.134,
2001-03,1.146,
2001-04,1.319,
2001-05,1.954,
2001-06,1.646,
2001-07,1.276,
2001-08,2.211,
2001-09,1.120,
2001-10,1.036,
2001-11,0.912,
2001-12,1.928,
2002-01,1.515,
2002-02,1.641,
2002-03,2.090,
2002-04,1.496,
2002-05,1.281,
2002-06,1.381,
2002-07,1.541,
2002-08,1.338,
2002-09,2.641,
2002-10,1.671,
2002-11,1.834,
2002-12,1.485,
2003-01,1.794,
2003-02,2.036,
2003-03,3.412,
2003-04,2.693,
2003-05,3.635,
2003-06,2.171,
2003-07,2.540,
2003-08,1.306,
2003-09,1.066,
2003-10,1.379,
2003-11,1.279,
2003-12,2.136,
2004-01,1.655,
2004-02,1.048,
2004-03,1.095,
2004-04,0.924,
2004-05,1.127,
2004-06,0.891,
2004-07,1.834,
2004-08,1.797,
2004-09,1.775,
2004-10,1.873,
2004-11,2.569,
2004-12,2.683,
2005-01,2.100,
2005-02,2.497,
2005-03,2.772,
2005-04,2.833,
2005-05,2.135,
2005-06,1.585,
2005-07,2.662,
2005-08,1.660,
2005-09,2.064,
2005-10,1.904,
2005-11,1.569,
2005-12,2.356,
2006-01,3.483,
2006-02,1.695,
2006-03,1.683,
2006-04,2.266,
2006-05,2.364,
2006-06,3.202,
2006-07,2.568,
2006-08,3.128,
2006-09,2.704,
2006-10,3.373,
2006-11,2.786,
2006-12,3.050,
2007-01,2.106,
2007-02,2.390,
2007-03,2.075,
2007-04,2.685,
2007-05,2.619,
2007-06,2.936,
2007-07,2.168,
2007-08,1.885,
2007-09,2.656,
2007-10,2.992,
2007-11,2.310,
2007-12,2.951,
2008-01,2.779,
2008-02,2.745,
2008-03,1.991,
2008-04,2.048,
2008-05,2.107,
2008-06,2.701,
2008-07,1.913,
2008-08,2.256,
2008-09,2.355,
2008-10,2.093,
2008-11,3.510,
2008-12,1.867,
2009-01,1.642,
2009-02,1.704,
2009-03,2.158,
2009-04,1.834,
2009-05,1.620,
2009-06,1.270,
2009-07,1.335,
2009-08,1.173,
2009-09,1.714,
2009-10,1.360,
2009-11,1.402,
2009-12,0.702,
2010-01,0.713,
2010-02,0.661,
2010-03,0.621,
2010-04,0.366,
2010-05,0.592,
2010-06,0.571,
2010-07,0.925,
2010-08,1.796,
2010-09,2.441,
2010-10,3.210,
2010-11,2.273,
2010-12,2.495,
2011-01,3.038,
2011-02,3.021,
2011-03,3.020,
2011-04,2.791,
2011-05,3.015,
2011-06,4.121,
2011-07,3.515,
2011-08,3.247,
2011-09,3.129,
2011-10,0.676,
2011-11,1.361,
2011-12,1.115,
2012-01,0.818,
2012-02,0.889,
2012-03,0.903,
2012-04,0.833,
2012-05,1.012,
2012-06,1.283,
2012-07,0.976,
2012-08,1.609,
2012-09,1.142,
2012-10,1.646,
2012-11,2.260,
2012-12,1.189,
2013-01,1.146,
2013-02,1.156,
2013-03,1.146,
2013-04,1.581,
2013-05,1.399,
2013-06,0.941,
2013-07,0.989,
2013-08,1.669,
2013-09,1.131,
2013-10,1.926,
2013-11,1.943,
2013-12,1.367,
2014-01,1.316,
2014-02,1.775,
2014-03,1.642,
2014-04,1.979,
2014-05,2.104,
2014-06,1.864,
2014-07,2.267,
2014-08,2.384,
2014-09,2.286,
2014-10,2.735,
2014-11,2.377,
2014-12,5.061,Provisional value
