"",BBK01.OEAO03T,BBK01.OEAO03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:41,
2002-01,1.243,
2002-04,1.352,
2002-07,1.066,
2002-10,1.100,
2003-01,1.270,
2003-04,1.096,
2003-07,1.044,
2003-10,1.147,
2004-01,1.109,
2004-04,1.006,
2004-07,1.009,
2004-10,0.962,
2005-01,1.101,
2005-04,1.006,
2005-07,0.901,
2005-10,0.991,
2006-01,1.187,
2006-04,1.054,
2006-07,1.037,
2006-10,1.225,
2007-01,1.384,
2007-04,1.083,
2007-07,1.076,
2007-10,1.178,
2008-01,1.357,
2008-04,1.169,
2008-07,1.161,
2008-10,1.392,
2009-01,1.344,
2009-04,1.198,
2009-07,1.199,
2009-10,1.187,
2010-01,1.089,
2010-04,0.888,
2010-07,0.796,
2010-10,0.877,
2011-01,0.972,
2011-04,0.950,
2011-07,0.926,
2011-10,0.940,
2012-01,1.000,
2012-04,0.863,
2012-07,0.854,
2012-10,0.927,
2013-01,0.968,
2013-04,0.790,
2013-07,0.730,
2013-10,0.748,
2014-01,0.799,
2014-04,0.686,
2014-07,0.772,
