"",BBK01.OELL02T,BBK01.OELL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:50,
2002-01,0.911,
2002-04,0.918,
2002-07,0.957,
2002-10,0.972,
2003-01,0.981,
2003-04,1.023,
2003-07,0.983,
2003-10,1.014,
2004-01,1.015,
2004-04,1.005,
2004-07,1.014,
2004-10,1.043,
2005-01,1.063,
2005-04,1.064,
2005-07,1.096,
2005-10,1.116,
2006-01,1.096,
2006-04,1.091,
2006-07,1.084,
2006-10,1.102,
2007-01,1.104,
2007-04,1.115,
2007-07,1.135,
2007-10,1.176,
2008-01,1.156,
2008-04,1.155,
2008-07,1.124,
2008-10,1.174,
2009-01,1.277,
2009-04,1.264,
2009-07,1.334,
2009-10,1.393,
2010-01,1.445,
2010-04,1.479,
2010-07,1.508,
2010-10,1.562,
2011-01,1.540,
2011-04,1.547,
2011-07,1.555,
2011-10,1.602,
2012-01,1.597,
2012-04,1.621,
2012-07,1.659,
2012-10,1.698,
2013-01,1.689,
2013-04,1.718,
2013-07,1.740,
2013-10,1.811,
2014-01,1.817,
2014-04,1.846,
2014-07,1.885,
