"",BBSF2.M.1.S.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.REN01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Bonds funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:41,
2009-09,367,
2009-10,348,
2009-11,430,
2009-12,467,
2010-01,698,
2010-02,377,
2010-03,179,
2010-04,183,
2010-05,505,
2010-06,445,
2010-07,318,
2010-08,240,
2010-09,281,
2010-10,244,
2010-11,277,
2010-12,313,
2011-01,348,
2011-02,738,
2011-03,278,
2011-04,284,
2011-05,257,
2011-06,226,
2011-07,231,
2011-08,205,
2011-09,176,
2011-10,181,
2011-11,491,
2011-12,203,
2012-01,203,
2012-02,199,
2012-03,169,
2012-04,175,
2012-05,185,
2012-06,220,
2012-07,341,
2012-08,229,
2012-09,146,
2012-10,152,
2012-11,90,
2012-12,85,
2013-01,137,
2013-02,206,
2013-03,136,
2013-04,79,
2013-05,97,
2013-06,320,
2013-07,517,
2013-08,551,
2013-09,628,
2013-10,1180,
2013-11,832,
2013-12,684,
2014-01,744,
2014-02,657,
2014-03,666,
2014-04,804,
2014-05,1323,
2014-06,1147,
2014-07,1139,
2014-08,1065,
2014-09,938,
2014-10,591,
2014-11,456,
