"",BBK01.OELL07J,BBK01.OELL07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:20,
2002-01,0.731,
2002-04,0.724,
2002-07,0.719,
2002-10,0.766,
2003-01,0.795,
2003-04,0.773,
2003-07,0.783,
2003-10,0.796,
2004-01,0.799,
2004-04,0.797,
2004-07,0.793,
2004-10,0.819,
2005-01,0.777,
2005-04,0.779,
2005-07,0.775,
2005-10,0.813,
2006-01,0.832,
2006-04,0.835,
2006-07,0.835,
2006-10,0.836,
2007-01,0.812,
2007-04,0.799,
2007-07,0.779,
2007-10,0.808,
2008-01,0.798,
2008-04,0.788,
2008-07,0.755,
2008-10,0.785,
2009-01,0.792,
2009-04,0.783,
2009-07,0.755,
2009-10,0.786,
2010-01,0.797,
2010-04,0.809,
2010-07,0.802,
2010-10,0.796,
2011-01,0.796,
2011-04,0.813,
2011-07,0.807,
2011-10,0.816,
2012-01,0.828,
2012-04,0.846,
2012-07,0.824,
2012-10,0.829,
2013-01,0.844,
2013-04,0.844,
2013-07,0.841,
2013-10,0.850,
2014-01,0.646,
2014-04,0.645,
2014-07,0.647,
