"",BBAI3.Q.DE.N.V.LE.F51.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:47,
2005-10,6099,
2006-01,6348,
2006-04,6424,
2006-07,6848,
2006-10,7347,
2007-01,7622,
2007-04,8071,
2007-07,8138,
2007-10,8211,
2008-01,8134,
2008-04,8043,
2008-07,7684,
2008-10,7445,
2009-01,7350,
2009-04,7404,
2009-07,7549,
2009-10,7717,
2010-01,8103,
2010-04,8512,
2010-07,8850,
2010-10,12804,
2011-01,12136,
2011-04,11905,
2011-07,11631,
2011-10,11537,
2012-01,11830,
2012-04,11999,
2012-07,12207,
2012-10,12328,
2013-01,12655,
2013-04,12767,
2013-07,12920,
2013-10,14509,
2014-01,14952,
2014-04,15067,
2014-07,15401,
