"",BBK01.QUK800,BBK01.QUK800_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Iceland / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:33:08,
2002-03,1.068,
2002-04,1.050,
2002-05,1.002,
2002-06,1.022,
2002-07,0.907,
2002-08,0.938,
2002-09,0.988,
2002-10,0.974,
2002-11,0.959,
2002-12,0.991,
2003-01,0.944,
2003-02,0.965,
2003-03,0.937,
2003-04,0.841,
2003-05,0.765,
2003-06,0.856,
2003-07,0.731,
2003-08,0.703,
2003-09,0.728,
2003-10,0.711,
2003-11,0.753,
2003-12,0.750,
2004-01,0.552,
2004-02,0.634,
2004-03,0.646,
2004-04,0.612,
2004-05,0.657,
2004-06,0.743,
2004-07,0.669,
2004-08,0.623,
2004-09,0.641,
2004-10,0.778,
2004-11,0.710,
2004-12,0.765,
2005-01,0.590,
2005-02,0.651,
2005-03,0.659,
2005-04,0.604,
2005-05,0.785,
2005-06,1.004,
2005-07,0.926,
2005-08,0.879,
2005-09,1.089,
2005-10,0.934,
2005-11,1.142,
2005-12,1.223,
2006-01,1.186,
2006-02,1.148,
2006-03,1.272,
2006-04,1.320,
2006-05,1.460,
2006-06,1.651,
2006-07,1.758,
2006-08,2.062,
2006-09,2.166,
2006-10,2.072,
2006-11,2.341,
2006-12,2.347,
2007-01,2.361,
2007-02,2.182,
2007-03,2.245,
2007-04,2.699,
2007-05,2.890,
2007-06,2.865,
2007-07,3.001,
2007-08,3.201,
2007-09,3.497,
2007-10,4.188,
2007-11,3.972,
2007-12,5.401,
2008-01,5.054,
2008-02,5.355,
2008-03,6.375,
2008-04,5.540,
2008-05,5.806,
2008-06,5.626,
2008-07,5.501,
2008-08,5.219,
2008-09,4.949,
2008-10,3.676,
2008-11,3.152,
2008-12,3.437,
2009-01,2.741,
2009-02,2.711,
2009-03,2.519,
2009-04,2.501,
2009-05,2.543,
2009-06,2.317,
2009-07,2.045,
2009-08,1.989,
2009-09,1.946,
2009-10,1.749,
2009-11,1.873,
2009-12,1.734,
2010-01,1.532,
2010-02,1.495,
2010-03,1.420,
2010-04,1.484,
2010-05,1.431,
2010-06,1.313,
2010-07,1.060,
2010-08,0.960,
2010-09,0.926,
2010-10,0.749,
2010-11,0.733,
2010-12,0.645,
2011-01,0.626,
2011-02,0.631,
2011-03,0.554,
2011-04,0.618,
2011-05,0.556,
2011-06,0.527,
2011-07,0.534,
2011-08,0.517,
2011-09,0.498,
2011-10,0.470,
2011-11,0.453,
2011-12,0.437,
2012-01,0.426,
2012-02,0.410,
2012-03,0.373,
2012-04,0.365,
2012-05,0.369,
2012-06,0.328,
2012-07,0.331,
2012-08,0.335,
2012-09,0.356,
2012-10,0.417,
2012-11,0.352,
2012-12,0.346,
2013-01,0.455,
2013-02,0.445,
2013-03,0.435,
2013-04,0.463,
2013-05,0.453,
2013-06,0.433,
2013-07,0.321,
2013-08,0.317,
2013-09,0.314,
2013-10,0.307,
2013-11,0.317,
2013-12,0.312,
2014-01,0.311,
2014-02,0.306,
2014-03,0.306,
2014-04,0.308,
2014-05,0.312,
2014-06,0.317,
2014-07,0.305,
2014-08,0.306,
2014-09,0.302,
2014-10,0.306,
