"",BBFB1.Q.N.DE.CN.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:55,
1991-01,366.790,
1991-04,483.871,
1991-07,609.737,
1991-10,609.889,
1992-01,641.883,
1992-04,683.634,
1992-07,736.223,
1992-10,985.802,
1993-01,1319.138,
1993-04,1404.550,
1993-07,1350.075,
1993-10,1253.898,
1994-01,1372.731,
1994-04,1370.782,
1994-07,1304.720,
1994-10,1239.941,
1995-01,1163.875,
1995-04,1156.946,
1995-07,1367.686,
1995-10,1683.351,
1996-01,1069.092,
1996-04,1203.984,
1996-07,1275.048,
1996-10,1909.142,
1997-01,966.126,
1997-04,1123.531,
1997-07,1382.124,
1997-10,1716.777,
1998-01,1200.314,
1998-04,1503.679,
1998-07,1506.858,
1998-10,1566.254,
1999-01,1424.578,
1999-04,1629.618,
1999-07,1776.245,
1999-10,1611.810,
2000-01,1498.844,
2000-04,2126.897,
2000-07,2310.713,
2000-10,2638.960,
2001-01,2383.260,
2001-04,2918.025,
2001-07,2975.637,
2001-10,2992.389,
2002-01,3044.541,
2002-04,3254.202,
2002-07,3823.104,
2002-10,3703.789,
2003-01,3854.460,
2003-04,4426.207,
2003-07,4973.564,
2003-10,4347.029,
2004-01,4867.954,
2004-04,5521.364,
2004-07,4661.318,
2004-10,4852.226,
2005-01,4238.462,
2005-04,4582.980,
2005-07,6039.588,
2005-10,5281.925,
2006-01,5651.980,
2006-04,5756.454,
2006-07,6776.578,
2006-10,7307.111,
2007-01,6269.700,
2007-04,7199.547,
2007-07,7802.665,
2007-10,7903.394,
2008-01,7676.546,
2008-04,8720.038,
2008-07,8066.491,
2008-10,8759.416,
2009-01,7626.666,
2009-04,8941.915,
2009-07,10203.280,
2009-10,11206.471,
2010-01,12144.331,
2010-04,13320.698,
2010-07,14018.458,
2010-10,15658.035,
2011-01,16064.625,
2011-04,16285.491,
2011-07,17161.360,
2011-10,17276.929,
2012-01,17248.692,
2012-04,18584.702,
2012-07,17494.397,
2012-10,16258.849,
2013-01,16485.138,
2013-04,17500.789,
2013-07,18334.182,
2013-10,18620.757,
2014-01,17956.035,Provisional value
2014-04,19687.620,Provisional value
2014-07,20818.440,Provisional value
