"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.IE.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Ireland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:45,
2009-09,726,
2009-10,945,
2009-11,941,
2009-12,980,
2010-01,931,
2010-02,967,
2010-03,860,
2010-04,687,
2010-05,768,
2010-06,770,
2010-07,848,
2010-08,766,
2010-09,635,
2010-10,617,
2010-11,484,
2010-12,437,
2011-01,406,
2011-02,391,
2011-03,384,
2011-04,310,
2011-05,300,
2011-06,289,
2011-07,240,
2011-08,197,
2011-09,220,
2011-10,199,
2011-11,154,
2011-12,156,
2012-01,168,
2012-02,167,
2012-03,112,
2012-04,111,
2012-05,101,
2012-06,105,
2012-07,122,
2012-08,114,
2012-09,132,
2012-10,134,
2012-11,139,
2012-12,151,
2013-01,240,
2013-02,228,
2013-03,422,
2013-04,441,
2013-05,403,
2013-06,366,
2013-07,331,
2013-08,332,
2013-09,372,
2013-10,352,
2013-11,358,
2013-12,365,
2014-01,410,
2014-02,490,
2014-03,527,
2014-04,559,
2014-05,535,
2014-06,536,
2014-07,589,
2014-08,643,
2014-09,613,
2014-10,621,
2014-11,733,
