"",BBK01.OEAE14O,BBK01.OEAE14O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:54,
2002-01,0.201,
2002-04,0.186,
2002-07,0.167,
2002-10,0.186,
2003-01,0.217,
2003-04,0.208,
2003-07,0.188,
2003-10,0.184,
2004-01,0.189,
2004-04,0.179,
2004-07,0.172,
2004-10,0.176,
2005-01,0.177,
2005-04,0.143,
2005-07,0.130,
2005-10,0.139,
2006-01,0.155,
2006-04,0.143,
2006-07,0.129,
2006-10,0.128,
2007-01,0.144,
2007-04,0.138,
2007-07,0.129,
2007-10,0.137,
2008-01,0.142,
2008-04,0.142,
2008-07,0.125,
2008-10,0.139,
2009-01,0.158,
2009-04,0.152,
2009-07,0.132,
2009-10,0.139,
2010-01,0.139,
2010-04,0.143,
2010-07,0.131,
2010-10,0.133,
2011-01,0.140,
2011-04,0.127,
2011-07,0.122,
2011-10,0.112,
2012-01,0.128,
2012-04,0.116,
2012-07,0.103,
2012-10,0.107,
2013-01,0.129,
2013-04,0.120,
2013-07,0.097,
2013-10,0.105,
2014-01,0.121,
2014-04,0.111,
2014-07,0.168,
