"",BBFN1.M.DE.N.1.A.PE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Peru,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:03,
1995-01,0.060,
1995-02,0.060,
1995-03,0.060,
1995-04,0.059,
1995-05,0.059,
1995-06,0.059,
1995-07,0.065,
1995-08,0.064,
1995-09,0.064,
1995-10,0.063,
1995-11,0.060,
1995-12,0.059,
1996-01,0.058,
1996-02,0.056,
1996-03,0.055,
1996-04,0.055,
1996-05,0.060,
1996-06,0.051,
1996-07,0.052,
1996-08,0.050,
1996-09,0.048,
1996-10,0.050,
1996-11,0.049,
1996-12,0.052,
1997-01,0.052,
1997-02,0.050,
1997-03,0.057,
1997-04,0.057,
1997-05,0.059,
1997-06,0.059,
1997-07,0.060,
1997-08,0.061,
1997-09,0.076,
1997-10,0.076,
1997-11,0.074,
1997-12,0.072,
1998-01,0.075,
1998-02,0.078,
1998-03,0.072,
1998-04,0.072,
1998-05,0.073,
1998-06,0.071,
1998-07,0.072,
1998-08,0.074,
1998-09,0.071,
1998-10,0.074,
1998-11,0.073,
1998-12,0.070,
1999-01,0.068,
1999-02,0.067,
1999-03,0.066,
1999-04,0.071,
1999-05,0.074,
1999-06,0.075,
1999-07,0.073,
1999-08,0.074,
1999-09,0.070,
1999-10,0.071,
1999-11,0.074,
1999-12,0.093,
2000-01,0.090,
2000-02,0.099,
2000-03,0.097,
2000-04,0.098,
2000-05,0.110,
2000-06,0.107,
2000-07,0.107,
2000-08,0.108,
2000-09,0.096,
2000-10,0.094,
2000-11,0.094,
2000-12,0.099,
2001-01,0.100,
2001-02,0.097,
2001-03,0.096,
2001-04,0.099,
2001-05,0.097,
2001-06,0.094,
2001-07,0.096,
2001-08,0.096,
2001-09,0.099,
2001-10,0.103,
2001-11,0.115,
2001-12,0.126,
2002-01,0.127,
2002-02,0.125,
2002-03,0.119,
2002-04,0.119,
2002-05,0.118,
2002-06,0.103,
2002-07,0.105,
2002-08,0.107,
2002-09,0.111,
2002-10,0.111,
2002-11,0.107,
2002-12,0.107,
2003-01,0.105,
2003-02,0.107,
2003-03,0.107,
2003-04,0.097,
2003-05,0.097,
2003-06,0.096,
2003-07,0.096,
2003-08,0.096,
2003-09,0.094,
2003-10,0.089,
2003-11,0.100,
2003-12,0.093,
2004-01,0.077,
2004-02,0.081,
2004-03,0.088,
2004-04,0.082,
2004-05,0.042,
2004-06,0.048,
2004-07,0.055,
2004-08,0.053,
2004-09,0.047,
2004-10,0.046,
2004-11,0.045,
2004-12,0.052,
2005-01,0.055,
2005-02,0.047,
2005-03,0.049,
2005-04,0.050,
2005-05,0.049,
2005-06,0.053,
2005-07,0.059,
2005-08,0.067,
2005-09,0.064,
2005-10,0.040,
2005-11,0.034,
2005-12,0.035,
2006-01,0.033,
2006-02,0.035,
2006-03,0.034,
2006-04,0.033,
2006-05,0.039,
2006-06,0.038,
2006-07,0.037,
2006-08,0.038,
2006-09,0.040,
2006-10,0.041,
2006-11,0.043,
2006-12,0.034,
2007-01,0.030,
2007-02,0.027,
2007-03,0.028,
2007-04,0.029,
2007-05,0.030,
2007-06,0.033,
2007-07,0.034,
2007-08,0.036,
2007-09,0.036,
2007-10,0.065,
2007-11,0.062,
2007-12,0.061,
2008-01,0.063,
2008-02,0.064,
2008-03,0.064,
2008-04,0.064,
2008-05,0.068,
2008-06,0.104,
2008-07,0.109,
2008-08,0.096,
2008-09,0.095,
2008-10,0.101,
2008-11,0.107,
2008-12,0.108,
2009-01,0.107,
2009-02,0.107,
2009-03,0.113,
2009-04,0.112,
2009-05,0.132,
2009-06,0.124,
2009-07,0.125,
2009-08,0.123,
2009-09,0.117,
2009-10,0.116,
2009-11,0.115,
2009-12,0.115,
2010-01,0.119,
2010-02,0.108,
2010-03,0.130,
2010-04,0.127,
2010-05,0.134,
2010-06,0.136,
2010-07,0.144,
2010-08,0.147,
2010-09,0.132,
2010-10,0.135,
2010-11,0.146,
2010-12,0.148,
2011-01,0.147,
2011-02,0.149,
2011-03,0.149,
2011-04,0.152,
2011-05,0.144,
2011-06,0.149,
2011-07,0.161,
2011-08,0.163,
2011-09,0.170,
2011-10,0.184,
2011-11,0.192,
2011-12,0.194,
2012-01,0.193,
2012-02,0.192,
2012-03,0.200,
2012-04,0.201,
2012-05,0.211,
2012-06,0.206,
2012-07,0.213,
2012-08,0.204,
2012-09,0.196,
2012-10,0.197,
2012-11,0.202,
2012-12,0.184,
2013-01,0.179,
2013-02,0.186,
2013-03,0.194,
2013-04,0.188,
2013-05,0.200,
2013-06,0.203,
2013-07,0.191,
2013-08,0.188,
2013-09,0.177,
2013-10,0.176,
2013-11,0.175,
2013-12,0.197,
2014-01,0.205,
2014-02,0.213,
2014-03,0.216,
2014-04,0.203,
2014-05,0.229,
2014-06,0.231,
2014-07,0.251,
2014-08,0.253,
2014-09,0.257,
2014-10,0.260,
2014-11,0.267,
2014-12,0.249,
