"",BBK01.OEAD33I,BBK01.OEAD33I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:12,
2002-01,0.107,
2002-04,0.109,
2002-07,0.098,
2002-10,0.105,
2003-01,0.077,
2003-04,0.091,
2003-07,0.108,
2003-10,0.104,
2004-01,0.100,
2004-04,0.102,
2004-07,0.100,
2004-10,0.091,
2005-01,0.086,
2005-04,0.081,
2005-07,0.073,
2005-10,0.069,
2006-01,0.067,
2006-04,0.069,
2006-07,0.071,
2006-10,0.074,
2007-01,0.074,
2007-04,0.069,
2007-07,0.073,
2007-10,0.083,
2008-01,0.083,
2008-04,0.085,
2008-07,0.078,
2008-10,0.077,
2009-01,0.070,
2009-04,0.076,
2009-07,0.074,
2009-10,0.072,
2010-01,0.035,
2010-04,0.024,
2010-07,0.024,
2010-10,0.024,
2011-01,0.055,
2011-04,0.056,
2011-07,0.055,
2011-10,0.046,
2012-01,0.083,
2012-04,0.077,
2012-07,0.074,
2012-10,0.076,
2013-01,0.078,
2013-04,0.071,
2013-07,0.070,
2013-10,0.059,
2014-01,0.062,
2014-04,0.059,
2014-07,0.061,
