"",BBDA1.M.DE.S.EX.S.A.W1.A.E.I10.A,BBDA1.M.DE.S.EX.S.A.W1.A.E.I10.A_FLAGS
"",German foreign trade: exports / Unit value / Aggregate / all goods / Rest of the World / Seasonally adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 08:07:21,
2008-01,103.0,
2008-02,102.1,
2008-03,100.9,
2008-04,102.7,
2008-05,102.2,
2008-06,103.0,
2008-07,103.5,
2008-08,104.7,
2008-09,104.0,
2008-10,104.9,
2008-11,104.6,
2008-12,105.1,
2009-01,103.7,
2009-02,103.2,
2009-03,103.4,
2009-04,102.4,
2009-05,101.8,
2009-06,100.6,
2009-07,101.7,
2009-08,101.0,
2009-09,100.8,
2009-10,101.5,
2009-11,101.6,
2009-12,100.9,
2010-01,96.2,
2010-02,96.4,
2010-03,97.9,
2010-04,98.9,
2010-05,99.7,
2010-06,101.1,
2010-07,101.6,
2010-08,100.2,
2010-09,100.9,
2010-10,100.9,
2010-11,101.2,
2010-12,102.1,
2011-01,102.2,
2011-02,101.9,
2011-03,102.7,
2011-04,102.1,
2011-05,103.1,
2011-06,102.7,
2011-07,102.1,
2011-08,102.8,
2011-09,104.0,
2011-10,103.6,
2011-11,103.8,
2011-12,103.7,
2012-01,106.1,
2012-02,106.8,
2012-03,105.9,
2012-04,107.1,
2012-05,107.2,
2012-06,106.5,
2012-07,106.4,
2012-08,108.2,
2012-09,108.5,
2012-10,106.8,
2012-11,106.2,
2012-12,107.0,
2013-01,105.6,
2013-02,106.8,
2013-03,105.7,
2013-04,105.5,
2013-05,106.0,
2013-06,106.5,
2013-07,105.1,
2013-08,105.0,
2013-09,105.6,
2013-10,106.7,
2013-11,106.0,
2013-12,105.9,
2014-01,106.7,
2014-02,106.4,
2014-03,106.5,
2014-04,106.1,
2014-05,106.1,
2014-06,106.9,
2014-07,108.8,
2014-08,107.3,
2014-09,109.0,
2014-10,109.2,
2014-11,108.1,
2014-12,107.7,
