"",BBK01.OEAE18U,BBK01.OEAE18U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:24,
2002-01,0.066,
2002-04,0.066,
2002-07,0.069,
2002-10,0.078,
2003-01,0.072,
2003-04,0.068,
2003-07,0.074,
2003-10,0.069,
2004-01,0.059,
2004-04,0.041,
2004-07,0.039,
2004-10,0.038,
2005-01,0.037,
2005-04,0.035,
2005-07,0.043,
2005-10,0.043,
2006-01,0.038,
2006-04,0.042,
2006-07,0.042,
2006-10,0.041,
2007-01,0.040,
2007-04,0.039,
2007-07,0.036,
2007-10,0.052,
2008-01,0.050,
2008-04,0.049,
2008-07,0.053,
2008-10,0.050,
2009-01,0.043,
2009-04,0.056,
2009-07,0.050,
2009-10,0.045,
2010-01,0.046,
2010-04,0.043,
2010-07,0.037,
2010-10,0.042,
2011-01,0.041,
2011-04,0.037,
2011-07,0.036,
2011-10,0.036,
2012-01,0.033,
2012-04,0.033,
2012-07,0.035,
2012-10,0.036,
2013-01,0.032,
2013-04,0.031,
2013-07,0.031,
2013-10,0.032,
2014-01,0.034,
2014-04,0.033,
2014-07,0.037,
