"",BBK01.OEXL09R,BBK01.OEXL09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:44,
2002-01,0.301,
2002-04,0.275,
2002-07,0.304,
2002-10,0.289,
2003-01,0.254,
2003-04,0.220,
2003-07,0.202,
2003-10,0.196,
2004-01,0.187,
2004-04,0.167,
2004-07,0.155,
2004-10,0.150,
2005-01,0.163,
2005-04,0.157,
2005-07,0.134,
2005-10,0.135,
2006-01,0.145,
2006-04,0.159,
2006-07,0.176,
2006-10,0.201,
2007-01,0.294,
2007-04,0.321,
2007-07,0.357,
2007-10,0.410,
2008-01,0.450,
2008-04,0.477,
2008-07,0.509,
2008-10,0.641,
2009-01,0.611,
2009-04,0.587,
2009-07,0.572,
2009-10,0.492,
2010-01,0.415,
2010-04,0.398,
2010-07,0.381,
2010-10,0.435,
2011-01,0.502,
2011-04,0.521,
2011-07,0.534,
2011-10,0.532,
2012-01,0.506,
2012-04,0.503,
2012-07,0.480,
2012-10,0.426,
2013-01,0.370,
2013-04,0.331,
2013-07,0.312,
2013-10,0.299,
2014-01,0.288,
2014-04,0.276,
2014-07,0.324,
